po_id,po_number,vendor_key,po_date,expected_date,total_amount,status,received_date,payment_terms,buyer,department_key
18506,PO018506,21,2020-01-10,2020-02-18,438786.23,Cancelled,,Net 90,Harper Robinson,5
7461,PO007461,6,2020-01-10,2020-01-25,322354.5,Completed,2020-02-15,Net 30,Charlie Hall,1
748,PO000748,27,2020-01-10,2020-02-02,324979.29,Completed,2020-02-05,Net 30,Evelyn Jackson,1
6602,PO006602,36,2020-01-10,2020-03-04,9973.37,Completed,2020-01-31,Net 60,Grace Evans,3
6575,PO006575,8,2020-01-10,2020-02-09,227946.91,Open,,Net 45,Lily Davies,9
14670,PO014670,47,2020-01-10,2020-02-01,117584.0,Cancelled,,Net 60,Chloe Brown,9
8316,PO008316,45,2020-01-10,2020-03-10,360441.03,Partial,,Net 45,Olivia Smith,10
14029,PO014029,33,2020-01-10,2020-02-18,185411.05,Cancelled,,Net 45,Olivia Robinson,8
19954,PO019954,12,2020-01-10,2020-02-11,348668.24,Completed,2020-02-09,Net 30,Alexander Thomas,10
13749,PO013749,25,2020-01-10,2020-02-25,335814.48,Open,,Net 30,Oliver Hill,3
15039,PO015039,18,2020-01-11,2020-01-24,406579.55,Completed,2020-02-21,Net 30,Oliver Thomas,1
17030,PO017030,21,2020-01-11,2020-02-07,139077.14,Partial,,Net 30,Thomas Roberts,1
10954,PO010954,26,2020-01-11,2020-01-28,206695.09,Partial,,Net 60,Amelia Robinson,4
11016,PO011016,11,2020-01-11,2020-02-22,161733.03,Completed,2020-02-09,Net 90,Emily White,1
3416,PO003416,26,2020-01-11,2020-02-26,149520.99,Completed,2020-02-16,Net 30,Charlie Lewis,2
9474,PO009474,48,2020-01-11,2020-01-21,301252.64,Completed,2020-02-23,Net 90,Ella Johnson,1
4695,PO004695,11,2020-01-11,2020-01-23,263184.41,Cancelled,,Net 30,Charlotte Hill,1
17107,PO017107,50,2020-01-11,2020-03-02,44688.67,Partial,,Net 60,Isabella Patel,6
7197,PO007197,30,2020-01-11,2020-02-12,351295.99,Completed,2020-02-13,Net 45,Amelia Edwards,4
5885,PO005885,43,2020-01-12,2020-03-04,161429.25,Completed,2020-02-14,Net 30,Daniel Roberts,3
9886,PO009886,37,2020-01-12,2020-03-01,332491.76,Completed,2020-02-19,Net 90,Sophie Cooper,6
11028,PO011028,47,2020-01-12,2020-02-20,493966.11,Completed,2020-02-10,Net 45,Mia Hill,7
3649,PO003649,37,2020-01-12,2020-01-24,416837.18,Cancelled,,Net 30,Charlotte Hall,4
2436,PO002436,32,2020-01-12,2020-01-22,90085.42,Completed,2020-02-19,Net 30,Lucas Thompson,4
7228,PO007228,5,2020-01-12,2020-03-05,276126.32,Cancelled,,Net 30,Thomas Hall,1
6973,PO006973,28,2020-01-12,2020-02-18,197946.05,Completed,2020-02-11,Net 90,Daniel Hill,10
13085,PO013085,8,2020-01-12,2020-02-04,466021.49,Completed,2020-02-22,Net 90,Mia Jones,1
18035,PO018035,4,2020-01-12,2020-03-11,378906.62,Completed,2020-01-21,Net 90,Alice Davies,2
4947,PO004947,21,2020-01-12,2020-02-07,390150.72,Completed,2020-02-15,Net 45,William Martin,5
2681,PO002681,22,2020-01-12,2020-02-27,457205.57,Completed,2020-02-18,Net 45,Matthew Cooper,7
5414,PO005414,5,2020-01-12,2020-01-23,252023.15,Open,,Net 90,Chloe Johnson,9
10410,PO010410,19,2020-01-13,2020-02-14,310804.82,Partial,,Net 60,Emily Hall,7
5036,PO005036,31,2020-01-13,2020-03-12,174554.93,Completed,2020-01-21,Net 45,Emma Thompson,7
3450,PO003450,28,2020-01-13,2020-03-11,360548.15,Completed,2020-02-08,Net 30,Evelyn Lewis,2
14674,PO014674,22,2020-01-13,2020-02-20,302309.33,Completed,2020-02-24,Net 90,David Wood,7
4505,PO004505,16,2020-01-14,2020-02-28,128618.02,Cancelled,,Net 45,Alexander Patel,4
4884,PO004884,36,2020-01-14,2020-02-29,246773.11,Partial,,Net 90,Ava Turner,2
7361,PO007361,49,2020-01-14,2020-03-13,282503.65,Cancelled,,Net 60,Jessica Jones,10
14912,PO014912,12,2020-01-14,2020-03-10,119933.91,Completed,2020-01-24,Net 60,Emma Taylor,7
8994,PO008994,7,2020-01-14,2020-02-11,363326.85,Partial,,Net 90,Charlie Evans,1
18093,PO018093,9,2020-01-14,2020-02-04,251769.81,Cancelled,,Net 60,William Thomas,5
10845,PO010845,46,2020-01-14,2020-02-21,471429.56,Cancelled,,Net 45,William Patel,5
10012,PO010012,45,2020-01-14,2020-02-11,243718.92,Partial,,Net 90,Harry Wilson,5
6887,PO006887,9,2020-01-14,2020-01-21,256275.75,Completed,2020-02-22,Net 30,Matthew Jackson,8
2132,PO002132,48,2020-01-14,2020-02-27,435843.48,Open,,Net 30,Alexander Edwards,10
5720,PO005720,2,2020-01-14,2020-02-25,411864.42,Completed,2020-01-30,Net 90,Charlie Hill,10
7549,PO007549,40,2020-01-14,2020-01-26,499022.01,Completed,2020-02-02,Net 90,Noah Wilson,6
14401,PO014401,44,2020-01-14,2020-03-08,428680.69,Partial,,Net 60,Evelyn Martin,10
18434,PO018434,1,2020-01-14,2020-02-11,125972.52,Completed,2020-02-01,Net 30,Benjamin Evans,2
8582,PO008582,4,2020-01-14,2020-01-29,77673.89,Completed,2020-02-13,Net 45,Thomas Jones,3
590,PO000590,21,2020-01-14,2020-02-28,491672.0,Cancelled,,Net 60,Amelia Robinson,10
18630,PO018630,24,2020-01-14,2020-02-19,400084.13,Open,,Net 45,Sophie Edwards,4
11642,PO011642,15,2020-01-14,2020-02-20,146244.88,Completed,2020-02-04,Net 45,George White,3
1625,PO001625,20,2020-01-14,2020-02-23,206169.6,Cancelled,,Net 60,James Lewis,8
18268,PO018268,38,2020-01-15,2020-02-28,70233.49,Open,,Net 30,Emma Wilson,5
710,PO000710,29,2020-01-15,2020-03-04,315969.44,Cancelled,,Net 90,Harry Wilson,2
1156,PO001156,5,2020-01-15,2020-01-23,116185.58,Open,,Net 30,Harry Wilson,3
3947,PO003947,31,2020-01-15,2020-02-12,338506.92,Partial,,Net 45,Freya White,8
12595,PO012595,43,2020-01-15,2020-01-26,303563.17,Open,,Net 45,Alice Turner,1
8685,PO008685,32,2020-01-15,2020-01-31,403023.74,Completed,2020-01-23,Net 30,Ella Taylor,2
16221,PO016221,38,2020-01-15,2020-01-29,25815.24,Cancelled,,Net 60,Matthew Hill,3
747,PO000747,15,2020-01-16,2020-02-07,477882.11,Completed,2020-02-18,Net 45,Samuel Harris,8
13780,PO013780,16,2020-01-16,2020-02-01,304894.8,Cancelled,,Net 60,Ruby Wilson,2
16460,PO016460,26,2020-01-16,2020-03-04,265340.63,Partial,,Net 45,Mia Green,10
13690,PO013690,49,2020-01-16,2020-02-02,287652.1,Completed,2020-01-30,Net 30,Alexander Jackson,4
8220,PO008220,28,2020-01-16,2020-02-15,42543.05,Completed,2020-01-28,Net 45,Emily Smith,6
860,PO000860,36,2020-01-16,2020-03-03,117426.2,Cancelled,,Net 90,Oscar Davies,7
8533,PO008533,28,2020-01-16,2020-02-19,73940.94,Cancelled,,Net 60,Oliver Hall,4
6468,PO006468,1,2020-01-16,2020-01-30,157873.2,Completed,2020-02-06,Net 30,George Williams,6
3302,PO003302,4,2020-01-17,2020-02-01,244390.99,Partial,,Net 90,George Lewis,5
12784,PO012784,25,2020-01-17,2020-02-17,480865.14,Cancelled,,Net 30,Henry Smith,8
1135,PO001135,18,2020-01-17,2020-01-28,135685.32,Partial,,Net 60,Charlie Brown,9
4014,PO004014,32,2020-01-17,2020-03-03,117881.64,Open,,Net 60,Oliver Davies,8
7692,PO007692,46,2020-01-18,2020-02-17,396135.49,Partial,,Net 60,Evelyn Hill,3
20,PO000020,20,2020-01-18,2020-03-05,460402.62,Completed,2020-02-24,Net 60,Charlie Smith,5
4185,PO004185,1,2020-01-18,2020-03-01,491241.87,Completed,2020-02-24,Net 60,Emma Lewis,8
13671,PO013671,37,2020-01-18,2020-02-16,452566.64,Completed,2020-02-28,Net 90,Joseph Wilson,1
13624,PO013624,46,2020-01-18,2020-03-14,170689.06,Partial,,Net 45,Harry Turner,9
6328,PO006328,49,2020-01-18,2020-02-16,77835.43,Cancelled,,Net 30,Mia Hall,4
16713,PO016713,17,2020-01-18,2020-03-14,53334.14,Cancelled,,Net 60,Thomas Evans,7
12664,PO012664,45,2020-01-18,2020-03-09,218687.27,Open,,Net 60,Ella Edwards,7
17024,PO017024,15,2020-01-19,2020-03-04,75419.12,Completed,2020-01-29,Net 30,Charlie Wood,7
4030,PO004030,25,2020-01-19,2020-02-03,411963.43,Open,,Net 90,Freya Jones,7
16440,PO016440,1,2020-01-19,2020-03-15,192160.21,Completed,2020-02-17,Net 45,Oliver Thomas,2
16250,PO016250,49,2020-01-19,2020-01-30,471812.62,Partial,,Net 60,Matthew Wright,7
6394,PO006394,32,2020-01-19,2020-02-28,382266.63,Partial,,Net 60,Samuel Walker,4
78,PO000078,37,2020-01-19,2020-03-04,6428.23,Partial,,Net 90,Amelia Evans,4
8942,PO008942,50,2020-01-19,2020-03-02,13594.42,Cancelled,,Net 45,Emily Taylor,2
924,PO000924,26,2020-01-19,2020-02-18,341188.24,Cancelled,,Net 45,Emily Williams,7
16111,PO016111,4,2020-01-19,2020-01-27,492911.76,Partial,,Net 60,Lucas Hill,2
8046,PO008046,19,2020-01-19,2020-03-11,235427.52,Completed,2020-02-09,Net 60,David Cooper,9
19515,PO019515,46,2020-01-19,2020-01-27,351307.05,Partial,,Net 60,Charlotte Roberts,10
19630,PO019630,8,2020-01-19,2020-02-27,127421.72,Cancelled,,Net 30,Thomas Edwards,4
4801,PO004801,36,2020-01-19,2020-02-23,451789.89,Completed,2020-02-27,Net 60,Harper Patel,6
14169,PO014169,15,2020-01-20,2020-01-29,125747.52,Completed,2020-02-06,Net 60,Alice Williams,3
10297,PO010297,34,2020-01-20,2020-03-02,375566.24,Open,,Net 90,Alexander Green,7
6054,PO006054,2,2020-01-20,2020-02-20,430248.46,Completed,2020-01-31,Net 90,Ruby Wood,3
16606,PO016606,15,2020-01-20,2020-03-12,428220.01,Partial,,Net 30,Ella Green,3
7317,PO007317,3,2020-01-20,2020-03-04,457165.35,Completed,2020-02-27,Net 45,Matthew Hughes,1
6150,PO006150,9,2020-01-20,2020-03-15,127643.66,Completed,2020-02-10,Net 45,Emma Taylor,4
6130,PO006130,22,2020-01-20,2020-02-08,70770.83,Completed,2020-02-13,Net 90,Olivia Wright,9
16046,PO016046,4,2020-01-20,2020-03-08,477377.86,Completed,2020-02-11,Net 60,Amelia Jackson,9
5794,PO005794,21,2020-01-21,2020-03-02,433933.19,Partial,,Net 30,Alice Wright,1
12816,PO012816,21,2020-01-21,2020-03-07,117756.86,Completed,2020-02-15,Net 60,Noah Williams,7
4734,PO004734,32,2020-01-21,2020-02-01,326401.11,Completed,2020-02-07,Net 60,Sophia Evans,6
1985,PO001985,23,2020-01-21,2020-02-12,55306.58,Cancelled,,Net 60,Grace Wilson,7
4462,PO004462,49,2020-01-21,2020-02-03,59396.4,Completed,2020-01-30,Net 30,Alexander Martin,2
1673,PO001673,44,2020-01-21,2020-02-13,337323.27,Completed,2020-02-18,Net 60,Leo Thompson,9
12152,PO012152,3,2020-01-21,2020-03-18,345295.4,Completed,2020-02-23,Net 30,Harper Hall,6
11504,PO011504,41,2020-01-21,2020-02-15,436878.01,Completed,2020-03-02,Net 45,Ruby Thompson,4
8629,PO008629,3,2020-01-21,2020-03-20,187419.97,Partial,,Net 30,Oscar Green,5
15684,PO015684,22,2020-01-21,2020-03-20,403696.12,Open,,Net 90,Benjamin Hughes,2
1683,PO001683,18,2020-01-22,2020-03-01,320339.28,Completed,2020-02-16,Net 60,Lily Williams,5
2806,PO002806,45,2020-01-22,2020-03-10,499953.39,Cancelled,,Net 45,Sophie Jones,5
3842,PO003842,45,2020-01-22,2020-02-20,119890.42,Completed,2020-02-25,Net 60,Alice Edwards,9
1904,PO001904,24,2020-01-22,2020-02-18,109532.39,Cancelled,,Net 60,Harry Clarke,9
18155,PO018155,24,2020-01-22,2020-02-09,356651.02,Partial,,Net 45,Evelyn Edwards,3
16789,PO016789,45,2020-01-22,2020-02-04,412788.43,Open,,Net 60,Alice Robinson,6
15273,PO015273,43,2020-01-22,2020-03-09,354709.31,Completed,2020-02-09,Net 90,Thomas Jones,5
9436,PO009436,43,2020-01-22,2020-03-14,326625.97,Completed,2020-03-05,Net 90,David Walker,1
17059,PO017059,24,2020-01-23,2020-02-28,282811.32,Cancelled,,Net 45,Mia Smith,6
10826,PO010826,46,2020-01-23,2020-02-03,241927.29,Completed,2020-02-12,Net 60,Charlie Hall,4
19397,PO019397,29,2020-01-23,2020-03-02,171817.91,Partial,,Net 90,Charlotte Williams,7
19509,PO019509,13,2020-01-23,2020-01-30,57311.81,Completed,2020-03-04,Net 30,Mia Williams,2
5844,PO005844,26,2020-01-23,2020-02-19,23267.98,Cancelled,,Net 60,Chloe Thompson,8
17708,PO017708,31,2020-01-23,2020-01-30,200192.19,Partial,,Net 45,Jessica Brown,6
15085,PO015085,39,2020-01-23,2020-03-09,149770.72,Cancelled,,Net 90,Grace Walker,10
12469,PO012469,39,2020-01-23,2020-02-07,67277.12,Completed,2020-02-12,Net 30,Mia Jackson,7
10936,PO010936,4,2020-01-23,2020-01-31,424219.5,Partial,,Net 60,Alice Davies,10
19646,PO019646,32,2020-01-23,2020-03-23,483576.07,Completed,2020-02-14,Net 90,Emily Robinson,8
4605,PO004605,21,2020-01-23,2020-02-17,477858.66,Completed,2020-02-16,Net 60,Samuel Clarke,6
1638,PO001638,34,2020-01-23,2020-02-03,208165.5,Open,,Net 45,Noah Thomas,4
19618,PO019618,34,2020-01-23,2020-02-29,447114.85,Completed,2020-02-18,Net 45,Ava Jackson,5
18384,PO018384,10,2020-01-23,2020-02-28,446835.63,Open,,Net 45,Leo Smith,9
261,PO000261,29,2020-01-24,2020-02-27,6140.28,Partial,,Net 60,Sophie Thompson,6
13066,PO013066,31,2020-01-24,2020-02-17,204206.12,Completed,2020-02-14,Net 60,William Robinson,4
19634,PO019634,18,2020-01-24,2020-03-12,270729.07,Completed,2020-02-19,Net 45,Charlie Thomas,2
17602,PO017602,29,2020-01-24,2020-03-03,434429.77,Open,,Net 30,George Jones,4
5196,PO005196,29,2020-01-24,2020-03-13,249545.57,Partial,,Net 45,Leo Thompson,9
13177,PO013177,1,2020-01-24,2020-03-04,234641.42,Cancelled,,Net 30,Joseph Robinson,1
3103,PO003103,18,2020-01-24,2020-03-08,423730.22,Cancelled,,Net 90,Sophia Taylor,3
14334,PO014334,23,2020-01-24,2020-01-31,175723.44,Completed,2020-02-10,Net 30,Sophie Wilson,7
17827,PO017827,31,2020-01-24,2020-02-20,191644.07,Cancelled,,Net 30,Emily Hill,1
8600,PO008600,28,2020-01-24,2020-01-31,99858.59,Partial,,Net 90,Charlie Edwards,7
19374,PO019374,2,2020-01-24,2020-02-09,483064.54,Cancelled,,Net 30,Chloe Turner,9
18061,PO018061,37,2020-01-24,2020-02-27,399864.96,Partial,,Net 30,Emily Turner,5
4566,PO004566,8,2020-01-25,2020-03-11,419778.7,Partial,,Net 45,Joseph Turner,4
8309,PO008309,25,2020-01-25,2020-02-26,193133.36,Partial,,Net 90,Thomas Wright,6
18866,PO018866,41,2020-01-25,2020-03-04,229161.52,Completed,2020-02-08,Net 45,Harper Green,7
10136,PO010136,24,2020-01-25,2020-03-19,415099.61,Partial,,Net 60,William Williams,8
6700,PO006700,23,2020-01-25,2020-03-06,499552.44,Completed,2020-02-07,Net 30,Alice Hughes,9
495,PO000495,36,2020-01-25,2020-02-17,288599.79,Completed,2020-02-22,Net 60,Emily Cooper,4
12506,PO012506,34,2020-01-25,2020-02-12,54007.0,Completed,2020-02-06,Net 60,Chloe Brown,4
3537,PO003537,33,2020-01-25,2020-02-07,78089.62,Completed,2020-02-04,Net 30,Ava Smith,6
5108,PO005108,2,2020-01-25,2020-03-25,279017.96,Partial,,Net 30,Jack Walker,10
139,PO000139,8,2020-01-25,2020-03-22,6986.38,Completed,2020-02-01,Net 60,Benjamin Wood,4
5015,PO005015,6,2020-01-26,2020-02-15,196362.19,Completed,2020-02-09,Net 90,Henry Lewis,6
8537,PO008537,12,2020-01-26,2020-02-24,269533.88,Cancelled,,Net 45,Lily Taylor,2
5026,PO005026,18,2020-01-26,2020-03-12,4938.28,Completed,2020-03-11,Net 45,William Patel,10
3682,PO003682,12,2020-01-26,2020-02-26,108370.39,Partial,,Net 30,Joseph Johnson,10
16200,PO016200,24,2020-01-26,2020-03-08,439499.22,Completed,2020-02-16,Net 90,Mia Smith,7
18030,PO018030,43,2020-01-26,2020-03-17,421420.67,Completed,2020-02-26,Net 45,Amelia Smith,10
16558,PO016558,40,2020-01-26,2020-02-06,71277.94,Completed,2020-02-04,Net 45,George Robinson,8
7788,PO007788,13,2020-01-26,2020-02-05,206044.42,Partial,,Net 30,William Jackson,8
3212,PO003212,45,2020-01-26,2020-03-13,387289.84,Completed,2020-02-24,Net 90,Oscar Williams,7
16682,PO016682,49,2020-01-26,2020-03-07,213016.21,Open,,Net 60,Joseph Roberts,6
19289,PO019289,30,2020-01-26,2020-02-27,353706.48,Cancelled,,Net 60,Lily Turner,4
17635,PO017635,23,2020-01-26,2020-03-22,270382.39,Partial,,Net 45,Jessica Robinson,4
4840,PO004840,42,2020-01-27,2020-02-24,289926.07,Completed,2020-02-19,Net 90,William Green,9
4000,PO004000,43,2020-01-27,2020-02-20,56908.42,Completed,2020-03-03,Net 45,David Hall,10
3133,PO003133,41,2020-01-27,2020-03-13,441031.98,Partial,,Net 45,Charlotte Green,2
5180,PO005180,16,2020-01-27,2020-02-09,35913.99,Partial,,Net 60,Emily Martin,3
14887,PO014887,43,2020-01-27,2020-02-10,299735.11,Partial,,Net 30,Henry Brown,3
318,PO000318,18,2020-01-27,2020-03-04,219390.56,Completed,2020-03-12,Net 45,Harry Martin,2
18847,PO018847,1,2020-01-27,2020-02-22,292646.98,Partial,,Net 45,Ruby Martin,7
10887,PO010887,13,2020-01-27,2020-03-14,94244.85,Completed,2020-02-17,Net 45,Benjamin Thomas,9
13877,PO013877,40,2020-01-27,2020-03-15,192569.7,Completed,2020-02-21,Net 90,Emily Thompson,6
10265,PO010265,10,2020-01-27,2020-03-05,90062.59,Completed,2020-02-20,Net 90,Ella Martin,6
8795,PO008795,40,2020-01-27,2020-02-23,336790.63,Partial,,Net 90,Thomas Clarke,6
