quota_id,user_id,rep_name,team,period_start,period_end,quota_amount,quota_type,territory,fiscal_year,fiscal_quarter
QTA00000024,USR000012,Lily Hughes,Enterprise,2026-02-01,2026-02-28,131732.79,New Business,London,2026,1
QTA00000025,USR000013,Stella Robinson,SMB,2026-01-01,2026-01-31,65622.36,Revenue,South East,2026,1
QTA00000026,USR000013,Stella Robinson,SMB,2026-02-01,2026-02-28,69268.05,Upsell,South East,2026,1
QTA00000027,USR000014,Isabella Hall,Consumer,2026-01-01,2026-01-31,42988.55,Renewals,Midlands,2026,1
QTA00000028,USR000014,Isabella Hall,Consumer,2026-02-01,2026-02-28,45376.8,Revenue,Midlands,2026,1
QTA00000029,USR000015,Riley Johnson,SMB,2026-01-01,2026-01-31,78407.99,New Business,Wales,2026,1
QTA00000030,USR000015,Riley Johnson,SMB,2026-02-01,2026-02-28,82763.99,Renewals,Wales,2026,1
QTA00000031,USR000016,Jack Mitchell,Consumer,2026-01-01,2026-01-31,44135.15,Revenue,North,2026,1
QTA00000032,USR000016,Jack Mitchell,Consumer,2026-02-01,2026-02-28,46587.1,Revenue,North,2026,1
QTA00000033,USR000017,William Green,SMB,2026-01-01,2026-01-31,87404.42,Upsell,London,2026,1
QTA00000034,USR000017,William Green,SMB,2026-02-01,2026-02-28,92260.22,Revenue,London,2026,1
QTA00000035,USR000018,Christopher Robinson,Consumer,2026-01-01,2026-01-31,57708.04,New Business,South East,2026,1
QTA00000036,USR000018,Christopher Robinson,Consumer,2026-02-01,2026-02-28,60914.04,Revenue,South East,2026,1
QTA00000037,USR000019,George Roberts,Enterprise,2026-01-01,2026-01-31,152145.27,Revenue,London,2026,1
QTA00000038,USR000019,George Roberts,Enterprise,2026-02-01,2026-02-28,160597.78,New Business,London,2026,1
QTA00000039,USR000020,Aria Anderson,Consumer,2026-01-01,2026-01-31,43942.55,Upsell,South East,2026,1
QTA00000040,USR000020,Aria Anderson,Consumer,2026-02-01,2026-02-28,46383.8,New Business,South East,2026,1
QTA00000041,USR000021,Ryan Wood,Partners,2026-01-01,2026-01-31,81065.81,Revenue,London,2026,1
QTA00000042,USR000021,Ryan Wood,Partners,2026-02-01,2026-02-28,85569.46,New Business,London,2026,1
QTA00000043,USR000022,Benjamin Wilson,Partners,2026-01-01,2026-01-31,95917.53,Revenue,North,2026,1
QTA00000044,USR000022,Benjamin Wilson,Partners,2026-02-01,2026-02-28,101246.29,Revenue,North,2026,1
QTA00000045,USR000023,Lucas Lee,Partners,2026-01-01,2026-01-31,117654.7,Upsell,Midlands,2026,1
QTA00000046,USR000023,Lucas Lee,Partners,2026-02-01,2026-02-28,124191.08,Revenue,Midlands,2026,1
QTA00000047,USR000024,Dylan Scott,Consumer,2026-01-01,2026-01-31,50232.01,Revenue,North,2026,1
QTA00000048,USR000024,Dylan Scott,Consumer,2026-02-01,2026-02-28,53022.68,New Business,North,2026,1
QTA00000049,USR000025,Daniel Mitchell,Enterprise,2026-01-01,2026-01-31,145751.19,Upsell,South East,2026,1
QTA00000050,USR000025,Daniel Mitchell,Enterprise,2026-02-01,2026-02-28,153848.48,Upsell,South East,2026,1
QTA00000051,USR000026,Zoey Wilson,Enterprise,2026-01-01,2026-01-31,148534.82,Revenue,South East,2026,1
QTA00000052,USR000026,Zoey Wilson,Enterprise,2026-02-01,2026-02-28,156786.75,Upsell,South East,2026,1
QTA00000053,USR000027,James Campbell,Consumer,2026-01-01,2026-01-31,52251.2,New Business,South East,2026,1
QTA00000054,USR000027,James Campbell,Consumer,2026-02-01,2026-02-28,55154.04,Revenue,South East,2026,1
QTA00000055,USR000028,Joseph Moore,Consumer,2026-01-01,2026-01-31,55016.8,New Business,Midlands,2026,1
QTA00000056,USR000028,Joseph Moore,Consumer,2026-02-01,2026-02-28,58073.29,Revenue,Midlands,2026,1
QTA00000057,USR000029,Grace Roberts,SMB,2026-01-01,2026-01-31,86994.23,Upsell,London,2026,1
QTA00000058,USR000029,Grace Roberts,SMB,2026-02-01,2026-02-28,91827.24,Renewals,London,2026,1
QTA00000059,USR000030,James Hall,SMB,2026-01-01,2026-01-31,85476.89,Upsell,London,2026,1
QTA00000060,USR000030,James Hall,SMB,2026-02-01,2026-02-28,90225.6,Revenue,London,2026,1
QTA00000061,USR000031,Ryan Wright,Enterprise,2026-01-01,2026-01-31,122911.22,Renewals,Midlands,2026,1
QTA00000062,USR000031,Ryan Wright,Enterprise,2026-02-01,2026-02-28,129739.62,Renewals,Midlands,2026,1
QTA00000063,USR000032,Henry Davies,Consumer,2026-01-01,2026-01-31,49010.59,New Business,London,2026,1
QTA00000064,USR000032,Henry Davies,Consumer,2026-02-01,2026-02-28,51733.4,Revenue,London,2026,1
QTA00000065,USR000033,Michael Thomas,Consumer,2026-01-01,2026-01-31,43793.6,New Business,South East,2026,1
QTA00000066,USR000033,Michael Thomas,Consumer,2026-02-01,2026-02-28,46226.58,Renewals,South East,2026,1
QTA00000067,USR000034,Aria Clark,Enterprise,2026-01-01,2026-01-31,177911.87,New Business,South East,2026,1
QTA00000068,USR000034,Aria Clark,Enterprise,2026-02-01,2026-02-28,187795.86,New Business,South East,2026,1
QTA00000069,USR000035,Grace Adams,Enterprise,2026-01-01,2026-01-31,125987.65,Revenue,Midlands,2026,1
QTA00000070,USR000035,Grace Adams,Enterprise,2026-02-01,2026-02-28,132986.96,Revenue,Midlands,2026,1
QTA00000071,USR000036,Hannah Morgan,SMB,2026-01-01,2026-01-31,65940.46,Revenue,London,2026,1
QTA00000072,USR000036,Hannah Morgan,SMB,2026-02-01,2026-02-28,69603.82,New Business,London,2026,1
QTA00000073,USR000037,Riley Wood,Partners,2026-01-01,2026-01-31,115054.63,Upsell,London,2026,1
QTA00000074,USR000037,Riley Wood,Partners,2026-02-01,2026-02-28,121446.56,Revenue,London,2026,1
QTA00000075,USR000038,Penelope Morris,Enterprise,2026-01-01,2026-01-31,158537.28,Revenue,London,2026,1
QTA00000076,USR000038,Penelope Morris,Enterprise,2026-02-01,2026-02-28,167344.91,Revenue,London,2026,1
QTA00000077,USR000039,Sophia Wood,Partners,2026-01-01,2026-01-31,101813.31,New Business,Scotland,2026,1
QTA00000078,USR000039,Sophia Wood,Partners,2026-02-01,2026-02-28,107469.6,Renewals,Scotland,2026,1
QTA00000079,USR000040,Owen Watson,Consumer,2026-01-01,2026-01-31,41519.23,New Business,London,2026,1
QTA00000080,USR000040,Owen Watson,Consumer,2026-02-01,2026-02-28,43825.85,New Business,London,2026,1
QTA00000081,USR000041,Michael Campbell,SMB,2026-01-01,2026-01-31,79398.93,Upsell,North,2026,1
QTA00000082,USR000041,Michael Campbell,SMB,2026-02-01,2026-02-28,83809.98,Revenue,North,2026,1
QTA00000083,USR000042,Riley Edwards,SMB,2026-01-01,2026-01-31,84991.67,Revenue,South East,2026,1
QTA00000084,USR000042,Riley Edwards,SMB,2026-02-01,2026-02-28,89713.43,Revenue,South East,2026,1
QTA00000085,USR000043,Alexander Phillips,SMB,2026-01-01,2026-01-31,67672.79,Revenue,South East,2026,1
QTA00000086,USR000043,Alexander Phillips,SMB,2026-02-01,2026-02-28,71432.39,Upsell,South East,2026,1
QTA00000087,USR000044,Rachel Campbell,Partners,2026-01-01,2026-01-31,113309.42,New Business,South East,2026,1
QTA00000088,USR000044,Rachel Campbell,Partners,2026-02-01,2026-02-28,119604.39,Revenue,South East,2026,1
QTA00000089,USR000045,Zoey Evans,Enterprise,2026-01-01,2026-01-31,168460.04,Upsell,Wales,2026,1
QTA00000090,USR000045,Zoey Evans,Enterprise,2026-02-01,2026-02-28,177818.93,Upsell,Wales,2026,1
QTA00000091,USR000046,Amanda Thomas,Consumer,2026-01-01,2026-01-31,49215.69,Revenue,London,2026,1
QTA00000092,USR000046,Amanda Thomas,Consumer,2026-02-01,2026-02-28,51949.9,New Business,London,2026,1
QTA00000093,USR000047,Riley Brown,Enterprise,2026-01-01,2026-01-31,177327.35,Revenue,South East,2026,1
QTA00000094,USR000047,Riley Brown,Enterprise,2026-02-01,2026-02-28,187178.86,Renewals,South East,2026,1
QTA00000095,USR000048,Emma Davies,SMB,2026-01-01,2026-01-31,87832.33,Upsell,South East,2026,1
QTA00000096,USR000048,Emma Davies,SMB,2026-02-01,2026-02-28,92711.91,New Business,South East,2026,1
QTA00000097,USR000049,Harry Edwards,Enterprise,2026-01-01,2026-01-31,127994.93,Revenue,North,2026,1
QTA00000098,USR000049,Harry Edwards,Enterprise,2026-02-01,2026-02-28,135105.76,Upsell,North,2026,1
QTA00000099,USR000050,Thomas Smith,SMB,2026-01-01,2026-01-31,81614.87,Revenue,Midlands,2026,1
QTA00000100,USR000050,Thomas Smith,SMB,2026-02-01,2026-02-28,86149.03,New Business,Midlands,2026,1
QTA00000101,USR000051,John Patel,Consumer,2026-01-01,2026-01-31,56483.85,Revenue,Midlands,2026,1
QTA00000102,USR000051,John Patel,Consumer,2026-02-01,2026-02-28,59621.85,Upsell,Midlands,2026,1
QTA00000103,USR000052,Harry Roberts,Enterprise,2026-01-01,2026-01-31,129838.0,New Business,London,2026,1
QTA00000104,USR000052,Harry Roberts,Enterprise,2026-02-01,2026-02-28,137051.23,Renewals,London,2026,1
QTA00000105,USR000053,Sophia Anderson,Enterprise,2026-01-01,2026-01-31,171683.07,Revenue,London,2026,1
QTA00000106,USR000053,Sophia Anderson,Enterprise,2026-02-01,2026-02-28,181221.01,New Business,London,2026,1
QTA00000107,USR000054,Katherine Moore,Consumer,2026-01-01,2026-01-31,51156.71,New Business,South East,2026,1
QTA00000108,USR000054,Katherine Moore,Consumer,2026-02-01,2026-02-28,53998.75,Upsell,South East,2026,1
QTA00000109,USR000055,Henry Lewis,Partners,2026-01-01,2026-01-31,107561.2,Revenue,London,2026,1
QTA00000110,USR000055,Henry Lewis,Partners,2026-02-01,2026-02-28,113536.82,Revenue,London,2026,1
QTA00000111,USR000056,Owen Martin,Partners,2026-01-01,2026-01-31,91079.88,Revenue,North,2026,1
QTA00000112,USR000056,Owen Martin,Partners,2026-02-01,2026-02-28,96139.88,Renewals,North,2026,1
QTA00000113,USR000057,Amelia Ward,Partners,2026-01-01,2026-01-31,97348.11,Upsell,London,2026,1
QTA00000114,USR000057,Amelia Ward,Partners,2026-02-01,2026-02-28,102756.33,Upsell,London,2026,1
QTA00000115,USR000058,Christopher White,Enterprise,2026-01-01,2026-01-31,131461.37,Revenue,London,2026,1
QTA00000116,USR000058,Christopher White,Enterprise,2026-02-01,2026-02-28,138764.78,Upsell,London,2026,1
QTA00000117,USR000059,Adam Thomas,Consumer,2026-01-01,2026-01-31,46916.64,Revenue,Scotland,2026,1
QTA00000118,USR000059,Adam Thomas,Consumer,2026-02-01,2026-02-28,49523.12,Renewals,Scotland,2026,1
QTA00000119,USR000060,Isabella Smith,Consumer,2026-01-01,2026-01-31,59147.21,Renewals,Midlands,2026,1
QTA00000120,USR000060,Isabella Smith,Consumer,2026-02-01,2026-02-28,62433.17,Revenue,Midlands,2026,1
QTA00000121,USR000061,Isabella Harrison,Enterprise,2026-01-01,2026-01-31,136583.1,Renewals,North,2026,1
QTA00000122,USR000061,Isabella Harrison,Enterprise,2026-02-01,2026-02-28,144171.05,Upsell,North,2026,1
QTA00000123,USR000062,Nathan Brown,Enterprise,2026-01-01,2026-01-31,125157.94,New Business,London,2026,1
QTA00000124,USR000062,Nathan Brown,Enterprise,2026-02-01,2026-02-28,132111.16,Revenue,London,2026,1
QTA00000125,USR000063,David Morgan,Consumer,2026-01-01,2026-01-31,43631.23,New Business,North,2026,1
QTA00000126,USR000063,David Morgan,Consumer,2026-02-01,2026-02-28,46055.18,Revenue,North,2026,1
QTA00000127,USR000064,Emma Phillips,SMB,2026-01-01,2026-01-31,84529.28,Revenue,Scotland,2026,1
QTA00000128,USR000064,Emma Phillips,SMB,2026-02-01,2026-02-28,89225.35,New Business,Scotland,2026,1
QTA00000129,USR000065,Evelyn Thomas,Enterprise,2026-01-01,2026-01-31,119010.61,Renewals,South East,2026,1
QTA00000130,USR000065,Evelyn Thomas,Enterprise,2026-02-01,2026-02-28,125622.31,New Business,South East,2026,1
QTA00000131,USR000066,Ella Watson,Enterprise,2026-01-01,2026-01-31,162829.12,New Business,South East,2026,1
QTA00000132,USR000066,Ella Watson,Enterprise,2026-02-01,2026-02-28,171875.18,New Business,South East,2026,1
QTA00000133,USR000067,Zoey Robinson,Enterprise,2026-01-01,2026-01-31,171256.52,Upsell,London,2026,1
QTA00000134,USR000067,Zoey Robinson,Enterprise,2026-02-01,2026-02-28,180770.77,New Business,London,2026,1
QTA00000135,USR000068,Dylan Taylor,Partners,2026-01-01,2026-01-31,102267.38,Revenue,North,2026,1
QTA00000136,USR000068,Dylan Taylor,Partners,2026-02-01,2026-02-28,107948.9,Revenue,North,2026,1
QTA00000137,USR000069,James Harris,SMB,2026-01-01,2026-01-31,83044.83,Upsell,Scotland,2026,1
QTA00000138,USR000069,James Harris,SMB,2026-02-01,2026-02-28,87658.43,Upsell,Scotland,2026,1
QTA00000139,USR000070,David Anderson,Enterprise,2026-01-01,2026-01-31,124905.94,Renewals,London,2026,1
QTA00000140,USR000070,David Anderson,Enterprise,2026-02-01,2026-02-28,131845.16,Upsell,London,2026,1
QTA00000141,USR000071,Emma Wilson,Partners,2026-01-01,2026-01-31,103778.2,Revenue,South East,2026,1
QTA00000142,USR000071,Emma Wilson,Partners,2026-02-01,2026-02-28,109543.65,Upsell,South East,2026,1
QTA00000143,USR000072,Hannah Morris,Consumer,2026-01-01,2026-01-31,55653.28,Upsell,Wales,2026,1
QTA00000144,USR000072,Hannah Morris,Consumer,2026-02-01,2026-02-28,58745.13,Revenue,Wales,2026,1
QTA00000145,USR000073,Amelia Wright,Consumer,2026-01-01,2026-01-31,58030.15,Renewals,South East,2026,1
QTA00000146,USR000073,Amelia Wright,Consumer,2026-02-01,2026-02-28,61254.05,Upsell,South East,2026,1
QTA00000147,USR000074,Riley Phillips,Partners,2026-01-01,2026-01-31,89765.51,Renewals,North,2026,1
QTA00000148,USR000074,Riley Phillips,Partners,2026-02-01,2026-02-28,94752.48,Revenue,North,2026,1
QTA00000149,USR000075,Robert Ward,Consumer,2026-01-01,2026-01-31,56600.15,Revenue,Scotland,2026,1
QTA00000150,USR000075,Robert Ward,Consumer,2026-02-01,2026-02-28,59744.6,Renewals,Scotland,2026,1
QTA00000151,USR000076,David Lewis,SMB,2026-01-01,2026-01-31,83021.76,Revenue,South East,2026,1
QTA00000152,USR000076,David Lewis,SMB,2026-02-01,2026-02-28,87634.08,Revenue,South East,2026,1
QTA00000153,USR000077,Isaac Clarke,Enterprise,2026-01-01,2026-01-31,170142.56,Upsell,South East,2026,1
QTA00000154,USR000077,Isaac Clarke,Enterprise,2026-02-01,2026-02-28,179594.93,Revenue,South East,2026,1
QTA00000155,USR000078,Evelyn Lee,Consumer,2026-01-01,2026-01-31,59026.76,New Business,South East,2026,1
QTA00000156,USR000078,Evelyn Lee,Consumer,2026-02-01,2026-02-28,62306.03,Upsell,South East,2026,1
QTA00000157,USR000079,Grace Hughes,Enterprise,2026-01-01,2026-01-31,129406.93,Upsell,Wales,2026,1
QTA00000158,USR000079,Grace Hughes,Enterprise,2026-02-01,2026-02-28,136596.2,Revenue,Wales,2026,1
QTA00000159,USR000080,Charlotte Phillips,Enterprise,2026-01-01,2026-01-31,144613.09,Renewals,London,2026,1
QTA00000160,USR000080,Charlotte Phillips,Enterprise,2026-02-01,2026-02-28,152647.15,Revenue,London,2026,1
QTA00000161,USR000081,Lucas Watson,Consumer,2026-01-01,2026-01-31,47226.87,New Business,Midlands,2026,1
QTA00000162,USR000081,Lucas Watson,Consumer,2026-02-01,2026-02-28,49850.58,Revenue,Midlands,2026,1
QTA00000163,USR000082,Isaac Jones,Partners,2026-01-01,2026-01-31,79266.97,Upsell,North,2026,1
QTA00000164,USR000082,Isaac Jones,Partners,2026-02-01,2026-02-28,83670.7,New Business,North,2026,1
QTA00000165,USR000083,Aria Williams,Partners,2026-01-01,2026-01-31,108581.22,Renewals,North,2026,1
QTA00000166,USR000083,Aria Williams,Partners,2026-02-01,2026-02-28,114613.51,Revenue,North,2026,1
QTA00000167,USR000084,Christopher James,Enterprise,2026-01-01,2026-01-31,138413.88,Revenue,North,2026,1
QTA00000168,USR000084,Christopher James,Enterprise,2026-02-01,2026-02-28,146103.54,Renewals,North,2026,1
QTA00000169,USR000085,Samuel White,Partners,2026-01-01,2026-01-31,91092.76,Revenue,North,2026,1
QTA00000170,USR000085,Samuel White,Partners,2026-02-01,2026-02-28,96153.47,New Business,North,2026,1
QTA00000171,USR000086,Grace King,SMB,2026-01-01,2026-01-31,63180.45,New Business,South East,2026,1
QTA00000172,USR000086,Grace King,SMB,2026-02-01,2026-02-28,66690.47,Upsell,South East,2026,1
QTA00000173,USR000087,Christopher Phillips,Consumer,2026-01-01,2026-01-31,51787.2,Revenue,Scotland,2026,1
QTA00000174,USR000087,Christopher Phillips,Consumer,2026-02-01,2026-02-28,54664.26,New Business,Scotland,2026,1
QTA00000175,USR000088,Hazel Phillips,Enterprise,2026-01-01,2026-01-31,144335.36,New Business,South East,2026,1
QTA00000176,USR000088,Hazel Phillips,Enterprise,2026-02-01,2026-02-28,152353.99,Renewals,South East,2026,1
QTA00000177,USR000089,Aurora Scott,Partners,2026-01-01,2026-01-31,96709.53,Revenue,Midlands,2026,1
QTA00000178,USR000089,Aurora Scott,Partners,2026-02-01,2026-02-28,102082.28,New Business,Midlands,2026,1
QTA00000179,USR000090,Thomas Mitchell,Consumer,2026-01-01,2026-01-31,55361.29,Revenue,Scotland,2026,1
QTA00000180,USR000090,Thomas Mitchell,Consumer,2026-02-01,2026-02-28,58436.92,Revenue,Scotland,2026,1
QTA00000181,USR000091,Joshua Martin,SMB,2026-01-01,2026-01-31,69355.09,Renewals,Midlands,2026,1
QTA00000182,USR000091,Joshua Martin,SMB,2026-02-01,2026-02-28,73208.15,Renewals,Midlands,2026,1
QTA00000183,USR000092,Sebastian James,Consumer,2026-01-01,2026-01-31,43542.77,Revenue,London,2026,1
QTA00000184,USR000092,Sebastian James,Consumer,2026-02-01,2026-02-28,45961.82,Revenue,London,2026,1
QTA00000185,USR000093,Nora Hughes,SMB,2026-01-01,2026-01-31,61563.0,New Business,North,2026,1
QTA00000186,USR000093,Nora Hughes,SMB,2026-02-01,2026-02-28,64983.16,New Business,North,2026,1
QTA00000187,USR000094,Edward Anderson,Partners,2026-01-01,2026-01-31,106775.63,New Business,London,2026,1
QTA00000188,USR000094,Edward Anderson,Partners,2026-02-01,2026-02-28,112707.61,Revenue,London,2026,1
QTA00000189,USR000095,Isaac Davies,Consumer,2026-01-01,2026-01-31,54469.1,Renewals,London,2026,1
QTA00000190,USR000095,Isaac Davies,Consumer,2026-02-01,2026-02-28,57495.16,Revenue,London,2026,1
QTA00000191,USR000096,Jack Walker,Partners,2026-01-01,2026-01-31,86165.11,Upsell,South East,2026,1
QTA00000192,USR000096,Jack Walker,Partners,2026-02-01,2026-02-28,90952.06,New Business,South East,2026,1
QTA00000193,USR000097,Edward Ward,Enterprise,2026-01-01,2026-01-31,169191.18,New Business,London,2026,1
QTA00000194,USR000097,Edward Ward,Enterprise,2026-02-01,2026-02-28,178590.69,Renewals,London,2026,1
QTA00000195,USR000098,Samuel Adams,Consumer,2026-01-01,2026-01-31,59160.27,New Business,North,2026,1
QTA00000196,USR000098,Samuel Adams,Consumer,2026-02-01,2026-02-28,62446.95,Upsell,North,2026,1
QTA00000197,USR000099,Riley Roberts,Consumer,2026-01-01,2026-01-31,53841.62,New Business,Midlands,2026,1
QTA00000198,USR000099,Riley Roberts,Consumer,2026-02-01,2026-02-28,56832.83,Renewals,Midlands,2026,1
QTA00000199,USR000100,John Wood,Partners,2026-01-01,2026-01-31,114729.44,Renewals,Midlands,2026,1
QTA00000200,USR000100,John Wood,Partners,2026-02-01,2026-02-28,121103.3,New Business,Midlands,2026,1
QTA00000201,USR000101,Riley Wilson,SMB,2026-01-01,2026-01-31,78338.54,Renewals,London,2026,1
QTA00000202,USR000101,Riley Wilson,SMB,2026-02-01,2026-02-28,82690.69,New Business,London,2026,1
QTA00000203,USR000102,Christopher Morgan,Consumer,2026-01-01,2026-01-31,41134.17,Revenue,South East,2026,1
QTA00000204,USR000102,Christopher Morgan,Consumer,2026-02-01,2026-02-28,43419.4,Revenue,South East,2026,1
QTA00000205,USR000103,Amanda Johnson,Consumer,2026-01-01,2026-01-31,50295.01,Revenue,South East,2026,1
QTA00000206,USR000103,Amanda Johnson,Consumer,2026-02-01,2026-02-28,53089.18,Revenue,South East,2026,1
QTA00000207,USR000104,Riley Turner,Enterprise,2026-01-01,2026-01-31,160761.3,Revenue,North,2026,1
QTA00000208,USR000104,Riley Turner,Enterprise,2026-02-01,2026-02-28,169692.48,New Business,North,2026,1
QTA00000209,USR000105,Owen Watson,SMB,2026-01-01,2026-01-31,65542.98,New Business,South East,2026,1
QTA00000210,USR000105,Owen Watson,SMB,2026-02-01,2026-02-28,69184.26,Upsell,South East,2026,1
QTA00000211,USR000106,Owen Watson,SMB,2026-01-01,2026-01-31,84844.94,Renewals,North,2026,1
QTA00000212,USR000106,Owen Watson,SMB,2026-02-01,2026-02-28,89558.55,Revenue,North,2026,1
QTA00000213,USR000107,Luna Roberts,Enterprise,2026-01-01,2026-01-31,139694.47,Renewals,London,2026,1
QTA00000214,USR000107,Luna Roberts,Enterprise,2026-02-01,2026-02-28,147455.28,Upsell,London,2026,1
QTA00000215,USR000108,Chloe Brown,Partners,2026-01-01,2026-01-31,108801.62,New Business,South East,2026,1
QTA00000216,USR000108,Chloe Brown,Partners,2026-02-01,2026-02-28,114846.15,New Business,South East,2026,1
QTA00000217,USR000109,Rachel Clarke,Partners,2026-01-01,2026-01-31,87889.1,New Business,London,2026,1
QTA00000218,USR000109,Rachel Clarke,Partners,2026-02-01,2026-02-28,92771.82,Revenue,London,2026,1
QTA00000219,USR000110,Oliver Young,SMB,2026-01-01,2026-01-31,71408.21,Revenue,North,2026,1
QTA00000220,USR000110,Oliver Young,SMB,2026-02-01,2026-02-28,75375.33,New Business,North,2026,1
QTA00000221,USR000111,Joshua Lee,Enterprise,2026-01-01,2026-01-31,120401.81,Revenue,Midlands,2026,1
QTA00000222,USR000111,Joshua Lee,Enterprise,2026-02-01,2026-02-28,127090.8,New Business,Midlands,2026,1
QTA00000223,USR000112,Jack Hill,Enterprise,2026-01-01,2026-01-31,156979.33,Revenue,London,2026,1
QTA00000224,USR000112,Jack Hill,Enterprise,2026-02-01,2026-02-28,165700.4,New Business,London,2026,1
QTA00000225,USR000113,Charlotte Lee,Enterprise,2026-01-01,2026-01-31,131372.62,Revenue,South East,2026,1
QTA00000226,USR000113,Charlotte Lee,Enterprise,2026-02-01,2026-02-28,138671.1,Renewals,South East,2026,1
QTA00000227,USR000114,Rachel Thomas,SMB,2026-01-01,2026-01-31,84108.15,Revenue,North,2026,1
QTA00000228,USR000114,Rachel Thomas,SMB,2026-02-01,2026-02-28,88780.83,Revenue,North,2026,1
QTA00000229,USR000115,Charlotte Davies,Enterprise,2026-01-01,2026-01-31,178194.53,Revenue,Midlands,2026,1
QTA00000230,USR000115,Charlotte Davies,Enterprise,2026-02-01,2026-02-28,188094.22,Renewals,Midlands,2026,1
QTA00000231,USR000116,Rachel Lewis,Partners,2026-01-01,2026-01-31,105009.48,Renewals,North,2026,1
QTA00000232,USR000116,Rachel Lewis,Partners,2026-02-01,2026-02-28,110843.34,Upsell,North,2026,1
QTA00000233,USR000117,Chloe Hughes,Enterprise,2026-01-01,2026-01-31,127851.51,Revenue,London,2026,1
QTA00000234,USR000117,Chloe Hughes,Enterprise,2026-02-01,2026-02-28,134954.37,Renewals,London,2026,1
QTA00000235,USR000118,Jessica White,SMB,2026-01-01,2026-01-31,80174.11,Renewals,London,2026,1
QTA00000236,USR000118,Jessica White,SMB,2026-02-01,2026-02-28,84628.23,Revenue,London,2026,1
QTA00000237,USR000119,Benjamin Cooper,Enterprise,2026-01-01,2026-01-31,163226.78,Revenue,Midlands,2026,1
QTA00000238,USR000119,Benjamin Cooper,Enterprise,2026-02-01,2026-02-28,172294.94,Renewals,Midlands,2026,1
QTA00000239,USR000120,Charlotte Thompson,Enterprise,2026-01-01,2026-01-31,125221.07,Revenue,Wales,2026,1
QTA00000240,USR000120,Charlotte Thompson,Enterprise,2026-02-01,2026-02-28,132177.79,Revenue,Wales,2026,1
QTA00000241,USR000121,Owen Thomas,Consumer,2026-01-01,2026-01-31,47453.76,Renewals,Wales,2026,1
QTA00000242,USR000121,Owen Thomas,Consumer,2026-02-01,2026-02-28,50090.08,Revenue,Wales,2026,1
QTA00000243,USR000122,Rachel Patel,Enterprise,2026-01-01,2026-01-31,156058.2,Revenue,North,2026,1
QTA00000244,USR000122,Rachel Patel,Enterprise,2026-02-01,2026-02-28,164728.1,Renewals,North,2026,1
QTA00000245,USR000123,Daniel Johnson,Enterprise,2026-01-01,2026-01-31,154464.45,Revenue,Scotland,2026,1
