employee_id,employee_name,email,department,job_title,job_level,employment_type,hire_date,tenure_years,work_location,work_city,work_type,salary,manager_id,cost_centre,status,gender,age_band,performance_rating,last_promotion_date,training_hours_ytd
EMP0011,Sarah Walker,emp0011@snowtelco.co.uk,Finance,Mid Finance Specialist,Mid,Full-time,2017-05-17,8.7,London HQ,London,On-site,48540.0,EMP0224,CC004,Active,F,25-34,5,2025-09-27,32
EMP0012,Harry Roberts,emp0012@snowtelco.co.uk,HR,Mid HR Specialist,Mid,Full-time,2024-03-23,1.9,London HQ,London,On-site,53182.0,EMP0096,CC008,Active,M,35-44,1,2024-12-26,51
EMP0013,Sophie Davies,emp0013@snowtelco.co.uk,Sales - B2B,Senior Sales Specialist,Senior,Intern,2019-01-14,7.0,Birmingham Office,Birmingham,Hybrid,74202.0,EMP0142,CC006,Active,M,35-44,5,2025-04-12,8
EMP0014,Thomas Wilson,emp0014@snowtelco.co.uk,Customer Service,Mid Customer Service Specialist,Mid,Full-time,2020-12-30,5.1,London Contact Centre,London,Remote,43356.0,EMP0250,CC003,On Leave,F,45-54,4,2022-04-09,46
EMP0015,Sarah Wilson,emp0015@snowtelco.co.uk,Customer Service,Junior Customer Service Specialist,Junior,Full-time,2016-06-18,9.6,London Contact Centre,London,Remote,30448.0,EMP0247,CC003,Active,Other,18-24,5,2024-07-28,23
EMP0016,Sarah Wilson,emp0016@snowtelco.co.uk,Retail Operations,Mid Retail Operations Specialist,Mid,Full-time,2021-08-04,4.5,SnowTelco London Train 45,London,On-site,47431.0,EMP0017,CC001,Active,F,25-34,3,2025-09-28,36
EMP0017,Thomas Williams,emp0017@snowtelco.co.uk,IT,Senior IT Specialist,Senior,Full-time,2021-12-16,4.1,Birmingham Office,Birmingham,Remote,62060.0,EMP0119,CC009,Active,Other,35-44,4,2024-06-04,44
EMP0018,Sophie Davies,emp0018@snowtelco.co.uk,Network Engineering,Senior Network Engineering Specialist,Senior,Part-time,2023-10-01,2.3,Manchester Office,Manchester,Hybrid,65978.0,EMP0025,CC002,Active,Other,35-44,3,2025-01-31,35
EMP0019,Daniel Jones,emp0019@snowtelco.co.uk,Retail Operations,Junior Retail Operations Specialist,Junior,Full-time,2022-06-01,3.7,SnowTelco Bristol Retail 6,Bristol,On-site,32406.0,EMP0038,CC001,Active,M,35-44,5,2025-03-12,40
EMP0020,Sophie Williams,emp0020@snowtelco.co.uk,Retail Operations,Lead Retail Operations Specialist,Lead,Full-time,2024-12-16,1.1,SnowTelco London Retail 34,London,On-site,74770.0,EMP0119,CC001,Active,M,45-54,4,2025-07-19,27
EMP0021,Olivia White,emp0021@snowtelco.co.uk,Retail Operations,Entry Retail Operations Specialist,Entry,Full-time,2020-05-05,5.7,SnowTelco Reading Retail 2,Reading,On-site,25140.0,EMP0163,CC001,Active,Other,25-34,2,2023-05-23,60
EMP0022,Emily Wright,emp0022@snowtelco.co.uk,Retail Operations,Mid Retail Operations Specialist,Mid,Full-time,2021-03-19,4.9,SnowTelco Oxford Standard,Oxford,On-site,48437.0,EMP0021,CC001,Active,F,35-44,4,2025-11-18,36
EMP0023,George Taylor,emp0023@snowtelco.co.uk,Finance,Senior Finance Specialist,Senior,Part-time,2025-08-05,0.5,Edinburgh Office,Edinburgh,Remote,65505.0,EMP0153,CC004,Active,Other,25-34,3,,44
EMP0024,Daniel Evans,emp0024@snowtelco.co.uk,Retail Operations,Mid Retail Operations Specialist,Mid,Intern,2020-03-30,5.8,SnowTelco Belfast Shopping 3,Belfast,On-site,38424.0,EMP0051,CC001,Active,F,45-54,2,2022-12-16,58
EMP0025,Michael Taylor,emp0025@snowtelco.co.uk,Sales - Consumer,Mid Sales Specialist,Mid,Contract,2025-05-05,0.7,London HQ,London,Hybrid,50926.0,EMP0298,CC007,Active,F,25-34,4,,35
EMP0026,Emily Taylor,emp0026@snowtelco.co.uk,Sales - Consumer,Lead Sales Specialist,Lead,Full-time,2019-08-17,6.5,Cardiff Office,Cardiff,On-site,71171.0,EMP0109,CC007,Active,F,35-44,2,2025-04-15,24
EMP0027,Emily Brown,emp0027@snowtelco.co.uk,Retail Operations,Junior Retail Operations Specialist,Junior,Full-time,2023-12-13,2.1,SnowTelco London Shopping 16,London,On-site,33331.0,EMP0048,CC001,Active,F,25-34,2,2025-06-13,76
EMP0028,Emily Davies,emp0028@snowtelco.co.uk,Retail Operations,Lead Retail Operations Specialist,Lead,Part-time,2022-10-26,3.3,SnowTelco London Retail 19,London,On-site,77989.0,EMP0174,CC001,Active,F,25-34,3,2024-11-09,1
EMP0029,Michael Thomas,emp0029@snowtelco.co.uk,Retail Operations,Entry Retail Operations Specialist,Entry,Full-time,2020-02-06,6.0,SnowTelco Birmingham Airport 9,Birmingham,On-site,22788.0,EMP0231,CC001,Active,Other,35-44,3,2021-12-30,48
EMP0030,Lucy Hall,emp0030@snowtelco.co.uk,Network Engineering,Mid Network Engineering Specialist,Mid,Full-time,2021-04-14,4.8,Manchester Office,Manchester,On-site,40913.0,EMP0469,CC002,On Leave,M,35-44,4,2022-07-03,33
EMP0031,Amelia Johnson,emp0031@snowtelco.co.uk,Finance,Mid Finance Specialist,Mid,Full-time,2017-08-19,8.4,Cardiff Office,Cardiff,Hybrid,40145.0,EMP0033,CC004,Active,M,25-34,4,2021-05-03,73
EMP0032,Emily Brown,emp0032@snowtelco.co.uk,Sales - Consumer,Manager of Sales - Consumer,Manager,Full-time,2022-07-31,3.5,Cardiff Office,Cardiff,Hybrid,107805.0,EMP0016,CC007,Active,Other,18-24,3,2025-12-29,8
EMP0033,Emily Johnson,emp0033@snowtelco.co.uk,Finance,Junior Finance Specialist,Junior,Full-time,2016-06-17,9.6,Cardiff Office,Cardiff,Remote,28388.0,EMP0213,CC004,Active,Other,45-54,2,2020-11-06,65
EMP0034,Olivia Walker,emp0034@snowtelco.co.uk,Customer Service,Manager of Customer Service,Manager,Full-time,2019-12-25,6.1,Manchester Contact Centre,Manchester,On-site,97419.0,EMP0006,CC003,Active,F,35-44,5,2024-02-11,64
EMP0035,Lucy Williams,emp0035@snowtelco.co.uk,Customer Service,Junior Customer Service Specialist,Junior,Part-time,2020-03-16,5.9,Glasgow Contact Centre,Glasgow,Remote,36983.0,EMP0373,CC003,Active,M,35-44,5,2024-07-19,44
EMP0036,Charlotte Smith,emp0036@snowtelco.co.uk,IT,Mid IT Specialist,Mid,Full-time,2025-07-23,0.5,London HQ,London,Remote,46672.0,EMP0473,CC009,Notice Period,F,25-34,4,,29
EMP0037,Michael Roberts,emp0037@snowtelco.co.uk,Legal,Junior Legal Specialist,Junior,Full-time,2020-03-28,5.8,Birmingham Office,Birmingham,Hybrid,36744.0,EMP0436,CC010,Active,F,25-34,5,2024-05-12,62
EMP0038,Olivia Thomas,emp0038@snowtelco.co.uk,Retail Operations,Senior Retail Operations Specialist,Senior,Full-time,2021-12-02,4.2,SnowTelco Brighton Shopping 3,Brighton,On-site,63879.0,EMP0196,CC001,Active,M,35-44,2,2024-09-16,35
EMP0039,Sophie Wright,emp0039@snowtelco.co.uk,Network Engineering,Senior Network Engineering Specialist,Senior,Full-time,2016-06-23,9.6,Cardiff Office,Cardiff,Remote,72846.0,EMP0032,CC002,Active,F,18-24,3,2024-10-14,80
EMP0040,Sarah Williams,emp0040@snowtelco.co.uk,Retail Operations,Junior Retail Operations Specialist,Junior,Full-time,2016-10-13,9.3,SnowTelco London Shopping 7,London,On-site,36334.0,EMP0322,CC001,Active,F,18-24,3,2024-06-01,4
EMP0041,Lucy Hall,emp0041@snowtelco.co.uk,Marketing,Manager of Marketing,Manager,Full-time,2020-02-28,5.9,Cardiff Office,Cardiff,Hybrid,102884.0,EMP0016,CC005,Active,F,25-34,5,2025-11-06,49
EMP0042,Harry Thompson,emp0042@snowtelco.co.uk,Retail Operations,Mid Retail Operations Specialist,Mid,Contract,2018-08-09,7.5,SnowTelco Birmingham Train 10,Birmingham,On-site,54286.0,EMP0120,CC001,Active,M,45-54,5,2024-04-16,80
EMP0043,Harry Thompson,emp0043@snowtelco.co.uk,Retail Operations,Manager of Retail Operations,Manager,Full-time,2016-03-03,9.9,SnowTelco Birmingham Airport 11,Birmingham,On-site,105159.0,EMP0006,CC001,Notice Period,F,25-34,4,2025-09-29,77
EMP0044,Lucy Wilson,emp0044@snowtelco.co.uk,Finance,Manager of Finance,Manager,Full-time,2022-09-14,3.4,Manchester Office,Manchester,On-site,114805.0,EMP0048,CC004,Active,M,35-44,2,2023-12-03,1
EMP0045,Harry Wright,emp0045@snowtelco.co.uk,Retail Operations,Senior Retail Operations Specialist,Senior,Part-time,2016-12-17,9.1,SnowTelco Derby Standard,Derby,On-site,61378.0,EMP0165,CC001,Active,F,45-54,5,2021-04-24,65
EMP0046,Sophie White,emp0046@snowtelco.co.uk,Retail Operations,Mid Retail Operations Specialist,Mid,Contract,2020-02-06,6.0,SnowTelco Southampton Retail 4,Southampton,On-site,46185.0,EMP0395,CC001,Active,Other,18-24,3,2021-12-02,69
EMP0047,Michael Roberts,emp0047@snowtelco.co.uk,Marketing,Manager of Marketing,Manager,Full-time,2020-01-11,6.1,Edinburgh Office,Edinburgh,Hybrid,114616.0,EMP0012,CC005,Active,Other,25-34,2,2026-01-05,43
EMP0048,Sarah Davies,emp0048@snowtelco.co.uk,IT,Entry IT Specialist,Entry,Full-time,2025-07-21,0.5,Birmingham Office,Birmingham,Hybrid,22125.0,EMP0460,CC009,Active,Other,45-54,2,,17
EMP0049,Lucy Wilson,emp0049@snowtelco.co.uk,Executive,Mid Executive Specialist,Mid,Full-time,2024-09-29,1.3,Birmingham Office,Birmingham,On-site,42448.0,EMP0267,CC015,Active,M,45-54,4,2026-01-19,72
EMP0050,Amelia Thompson,emp0050@snowtelco.co.uk,Retail Operations,Mid Retail Operations Specialist,Mid,Full-time,2024-01-25,2.0,SnowTelco Glasgow High 4,Glasgow,On-site,44045.0,EMP0286,CC001,Active,F,35-44,3,2024-08-17,51
EMP0051,Michael Johnson,emp0051@snowtelco.co.uk,Supply Chain,Entry Supply Chain Specialist,Entry,Full-time,2016-09-13,9.4,Manchester Office,Manchester,On-site,25392.0,EMP0499,CC012,Active,F,25-34,4,2021-07-21,72
EMP0052,James Thompson,emp0052@snowtelco.co.uk,Retail Operations,Senior Retail Operations Specialist,Senior,Full-time,2023-02-06,3.0,SnowTelco Cambridge Standard,Cambridge,On-site,71372.0,EMP0195,CC001,Active,M,18-24,3,2025-05-04,80
EMP0053,Amelia Jones,emp0053@snowtelco.co.uk,Legal,Mid Legal Specialist,Mid,Full-time,2020-07-13,5.5,Manchester Office,Manchester,Hybrid,44138.0,EMP0445,CC010,Active,Other,35-44,5,2021-06-13,37
EMP0054,David Hall,emp0054@snowtelco.co.uk,Security,Senior Security Specialist,Senior,Full-time,2017-05-24,8.7,Manchester Office,Manchester,Remote,55544.0,EMP0069,CC014,Active,Other,45-54,3,2024-06-05,55
EMP0055,Lucy Jones,emp0055@snowtelco.co.uk,Marketing,Lead Marketing Specialist,Lead,Full-time,2016-06-27,9.6,London HQ,London,On-site,81563.0,EMP0135,CC005,Active,M,25-34,4,2018-07-18,19
EMP0056,Olivia Roberts,emp0056@snowtelco.co.uk,Retail Operations,Entry Retail Operations Specialist,Entry,Full-time,2016-07-17,9.5,SnowTelco Belfast Airport 4,Belfast,On-site,23490.0,EMP0476,CC001,Active,F,35-44,1,2017-11-26,14
EMP0057,George Evans,emp0057@snowtelco.co.uk,Sales - Consumer,VP of Sales - Consumer,VP,Full-time,2023-05-28,2.7,Birmingham Office,Birmingham,Hybrid,207664.0,,CC007,Active,F,35-44,3,2025-03-20,30
EMP0058,Lucy Wilson,emp0058@snowtelco.co.uk,Product Management,Lead Product Management Specialist,Lead,Full-time,2025-10-21,0.3,Edinburgh Office,Edinburgh,On-site,90074.0,EMP0101,CC011,Active,Other,45-54,5,,15
EMP0059,Emma Williams,emp0059@snowtelco.co.uk,Sales - Consumer,Director of Sales - Consumer,Director,Full-time,2017-12-07,8.1,London HQ,London,On-site,116854.0,,CC007,Active,M,18-24,5,2020-12-07,35
EMP0060,Sarah Wilson,emp0060@snowtelco.co.uk,Customer Service,Senior Customer Service Specialist,Senior,Full-time,2025-08-09,0.5,Manchester Contact Centre,Manchester,On-site,61649.0,EMP0160,CC003,Active,M,18-24,3,,75
EMP0061,Sarah Roberts,emp0061@snowtelco.co.uk,Sales - B2B,Mid Sales Specialist,Mid,Full-time,2025-06-13,0.6,London HQ,London,Hybrid,39307.0,EMP0060,CC006,Active,M,25-34,3,,3
EMP0062,Michael Evans,emp0062@snowtelco.co.uk,Product Management,Lead Product Management Specialist,Lead,Full-time,2020-02-06,6.0,Cardiff Office,Cardiff,Hybrid,77046.0,EMP0035,CC011,Active,M,45-54,3,2023-06-16,21
EMP0063,Lucy Evans,emp0063@snowtelco.co.uk,Product Management,Lead Product Management Specialist,Lead,Full-time,2018-08-15,7.5,Birmingham Office,Birmingham,Hybrid,75210.0,EMP0081,CC011,Active,M,55+,5,2024-03-16,62
EMP0064,Sarah Roberts,emp0064@snowtelco.co.uk,Customer Service,Director of Customer Service,Director,Full-time,2022-07-05,3.6,Manchester Contact Centre,Manchester,Hybrid,127870.0,,CC003,Active,M,25-34,4,2024-01-30,59
EMP0065,Sophie Taylor,emp0065@snowtelco.co.uk,Network Engineering,Mid Network Engineering Specialist,Mid,Full-time,2025-06-18,0.6,Cardiff Office,Cardiff,Hybrid,39849.0,EMP0007,CC002,On Leave,F,35-44,2,,43
EMP0066,Charlotte Roberts,emp0066@snowtelco.co.uk,Supply Chain,Junior Supply Chain Specialist,Junior,Contract,2019-06-29,6.6,London HQ,London,Hybrid,37241.0,EMP0118,CC012,Active,M,55+,3,2024-08-14,59
EMP0067,Sarah Jones,emp0067@snowtelco.co.uk,Sales - Consumer,Junior Sales Specialist,Junior,Part-time,2018-07-15,7.5,Edinburgh Office,Edinburgh,Hybrid,31718.0,EMP0232,CC007,Active,M,35-44,3,2025-03-10,39
EMP0068,George Jones,emp0068@snowtelco.co.uk,Sales - B2B,Entry Sales Specialist,Entry,Part-time,2025-03-12,0.9,Cardiff Office,Cardiff,Hybrid,22495.0,EMP0282,CC006,Active,M,25-34,4,,49
EMP0069,Michael Williams,emp0069@snowtelco.co.uk,Customer Service,Mid Customer Service Specialist,Mid,Full-time,2022-05-13,3.7,Manchester Contact Centre,Manchester,Hybrid,43799.0,EMP0387,CC003,Active,Other,25-34,4,2024-04-21,4
EMP0070,George Johnson,emp0070@snowtelco.co.uk,Retail Operations,Lead Retail Operations Specialist,Lead,Full-time,2020-09-26,5.3,SnowTelco Newcastle Airport 3,Newcastle,On-site,91716.0,EMP0060,CC001,On Leave,M,45-54,3,2024-05-08,36
EMP0071,Amelia Jones,emp0071@snowtelco.co.uk,Network Engineering,Lead Network Engineering Specialist,Lead,Part-time,2019-10-24,6.3,London HQ,London,Hybrid,72978.0,EMP0193,CC002,On Leave,F,25-34,2,2021-09-06,21
EMP0072,Daniel Smith,emp0072@snowtelco.co.uk,Customer Service,Senior Customer Service Specialist,Senior,Full-time,2017-04-21,8.8,Glasgow Contact Centre,Glasgow,Hybrid,64369.0,EMP0189,CC003,Active,M,18-24,3,2021-02-23,61
EMP0073,William Walker,emp0073@snowtelco.co.uk,Sales - B2B,Entry Sales Specialist,Entry,Full-time,2022-04-27,3.8,Cardiff Office,Cardiff,Hybrid,22488.0,EMP0435,CC006,Active,M,35-44,3,2023-12-05,33
EMP0074,Thomas Johnson,emp0074@snowtelco.co.uk,Customer Service,Entry Customer Service Specialist,Entry,Full-time,2021-11-09,4.2,London Contact Centre,London,Remote,25703.0,EMP0261,CC003,Active,F,25-34,3,2024-01-12,54
EMP0075,Daniel Walker,emp0075@snowtelco.co.uk,Sales - B2B,Senior Sales Specialist,Senior,Full-time,2021-09-13,4.4,Birmingham Office,Birmingham,Hybrid,67289.0,EMP0069,CC006,Active,M,35-44,2,2023-12-22,60
EMP0076,Thomas White,emp0076@snowtelco.co.uk,Network Engineering,Junior Network Engineering Specialist,Junior,Part-time,2025-05-24,0.7,Edinburgh Office,Edinburgh,Remote,29386.0,EMP0352,CC002,Active,Other,18-24,1,,73
EMP0077,Sophie Jones,emp0077@snowtelco.co.uk,Customer Service,Mid Customer Service Specialist,Mid,Full-time,2019-11-04,6.2,Glasgow Contact Centre,Glasgow,Hybrid,38242.0,EMP0279,CC003,Active,F,45-54,3,2023-03-21,27
EMP0078,Sarah Thomas,emp0078@snowtelco.co.uk,Customer Service,Senior Customer Service Specialist,Senior,Full-time,2020-10-18,5.3,Manchester Contact Centre,Manchester,Hybrid,67528.0,EMP0076,CC003,Active,F,45-54,4,2022-10-15,56
EMP0079,Sophie Smith,emp0079@snowtelco.co.uk,Retail Operations,Senior Retail Operations Specialist,Senior,Full-time,2018-10-30,7.3,SnowTelco Aberdeen Airport 2,Aberdeen,On-site,70900.0,EMP0167,CC001,Active,F,25-34,3,2020-11-21,33
EMP0080,Olivia Jones,emp0080@snowtelco.co.uk,Retail Operations,Mid Retail Operations Specialist,Mid,Full-time,2025-04-03,0.8,SnowTelco Bristol High 4,Bristol,On-site,40217.0,EMP0474,CC001,Active,F,35-44,3,,49
EMP0081,Amelia Davies,emp0081@snowtelco.co.uk,Sales - B2B,Lead Sales Specialist,Lead,Contract,2023-01-07,3.1,Manchester Office,Manchester,Hybrid,73877.0,EMP0114,CC006,Active,M,35-44,4,2024-06-05,30
EMP0082,Emily Wright,emp0082@snowtelco.co.uk,Retail Operations,Entry Retail Operations Specialist,Entry,Full-time,2016-11-08,9.2,SnowTelco London Retail 19,London,On-site,24377.0,EMP0345,CC001,Active,Other,45-54,4,2022-02-02,66
EMP0083,Olivia Jones,emp0083@snowtelco.co.uk,HR,Senior HR Specialist,Senior,Part-time,2017-07-19,8.5,London HQ,London,On-site,61265.0,EMP0112,CC008,Active,Other,35-44,2,2018-09-04,9
EMP0084,David Wilson,emp0084@snowtelco.co.uk,Retail Operations,Lead Retail Operations Specialist,Lead,Full-time,2021-10-13,4.3,SnowTelco Brighton Airport 4,Brighton,On-site,89563.0,EMP0043,CC001,Active,M,25-34,4,2025-01-24,15
EMP0085,Michael Johnson,emp0085@snowtelco.co.uk,Customer Service,VP of Customer Service,VP,Full-time,2016-08-22,9.4,Manchester Contact Centre,Manchester,Remote,217792.0,,CC003,On Leave,M,25-34,4,2019-11-15,5
EMP0086,Sophie Hall,emp0086@snowtelco.co.uk,IT,Lead IT Specialist,Lead,Full-time,2019-09-02,6.4,Cardiff Office,Cardiff,Remote,75174.0,EMP0049,CC009,Active,M,18-24,5,2023-05-09,6
EMP0087,Daniel Johnson,emp0087@snowtelco.co.uk,Executive,Junior Executive Specialist,Junior,Part-time,2023-11-12,2.2,Edinburgh Office,Edinburgh,Hybrid,32924.0,EMP0472,CC015,Active,F,35-44,4,2025-03-26,4
EMP0088,James Taylor,emp0088@snowtelco.co.uk,Network Engineering,Director of Network Engineering,Director,Full-time,2022-11-20,3.2,Birmingham Office,Birmingham,Remote,127181.0,,CC002,Active,F,18-24,5,2025-07-31,36
EMP0089,Sophie Davies,emp0089@snowtelco.co.uk,Retail Operations,Mid Retail Operations Specialist,Mid,Full-time,2018-04-10,7.8,SnowTelco Manchester Train 9,Manchester,On-site,43760.0,EMP0421,CC001,Active,F,45-54,3,2025-09-22,64
EMP0090,Michael Roberts,emp0090@snowtelco.co.uk,Network Engineering,Senior Network Engineering Specialist,Senior,Full-time,2021-04-04,4.8,Cardiff Office,Cardiff,Hybrid,70721.0,EMP0164,CC002,Active,Other,55+,3,2024-07-07,74
EMP0091,Emma Davies,emp0091@snowtelco.co.uk,Customer Service,Junior Customer Service Specialist,Junior,Full-time,2025-02-21,0.9,London Contact Centre,London,On-site,35343.0,EMP0022,CC003,Active,F,45-54,3,,34
EMP0092,James Evans,emp0092@snowtelco.co.uk,Finance,Entry Finance Specialist,Entry,Full-time,2017-05-16,8.7,Cardiff Office,Cardiff,Hybrid,27550.0,EMP0400,CC004,Active,M,25-34,4,2021-02-19,31
EMP0093,Amelia White,emp0093@snowtelco.co.uk,Sales - B2B,Senior Sales Specialist,Senior,Full-time,2018-04-10,7.8,Cardiff Office,Cardiff,On-site,61124.0,EMP0118,CC006,Active,F,55+,3,2018-11-22,66
EMP0094,Lucy Jones,emp0094@snowtelco.co.uk,Network Engineering,Senior Network Engineering Specialist,Senior,Part-time,2023-03-14,2.9,Edinburgh Office,Edinburgh,Hybrid,63825.0,EMP0152,CC002,Active,Other,35-44,4,2025-02-01,47
EMP0095,Amelia Thompson,emp0095@snowtelco.co.uk,Network Engineering,Entry Network Engineering Specialist,Entry,Full-time,2020-02-11,6.0,Manchester Office,Manchester,On-site,27862.0,EMP0224,CC002,Active,M,35-44,3,2021-09-23,59
EMP0096,Emma Hall,emp0096@snowtelco.co.uk,Network Engineering,Manager of Network Engineering,Manager,Full-time,2024-08-13,1.5,Edinburgh Office,Edinburgh,On-site,107955.0,EMP0031,CC002,Active,M,25-34,2,2025-04-03,78
EMP0097,Harry Williams,emp0097@snowtelco.co.uk,Retail Operations,Senior Retail Operations Specialist,Senior,Full-time,2022-10-20,3.3,SnowTelco Plymouth Standard,Plymouth,On-site,66700.0,EMP0091,CC001,Active,F,18-24,2,2024-08-15,38
EMP0098,David Hall,emp0098@snowtelco.co.uk,Retail Operations,Mid Retail Operations Specialist,Mid,Contract,2018-04-05,7.8,SnowTelco York Airport 2,York,On-site,41819.0,EMP0377,CC001,Active,F,45-54,5,2024-05-15,35
EMP0099,George Taylor,emp0099@snowtelco.co.uk,Network Engineering,Senior Network Engineering Specialist,Senior,Full-time,2021-07-04,4.6,Birmingham Office,Birmingham,Hybrid,63999.0,EMP0023,CC002,Active,F,45-54,2,2022-11-17,55
EMP0100,William White,emp0100@snowtelco.co.uk,Sales - B2B,Manager of Sales - B2B,Manager,Part-time,2017-03-22,8.9,Cardiff Office,Cardiff,Remote,102143.0,EMP0042,CC006,Active,M,35-44,3,2018-04-26,31
EMP0101,Sarah Wright,emp0101@snowtelco.co.uk,IT,Lead IT Specialist,Lead,Full-time,2022-09-27,3.3,Edinburgh Office,Edinburgh,On-site,71552.0,EMP0063,CC009,On Leave,F,45-54,3,2024-02-19,44
EMP0102,Amelia Roberts,emp0102@snowtelco.co.uk,Retail Operations,Mid Retail Operations Specialist,Mid,Full-time,2020-12-20,5.1,SnowTelco Cardiff Flagship,Cardiff,On-site,51619.0,EMP0369,CC001,Active,F,45-54,3,2026-01-15,75
EMP0103,Lucy Davies,emp0103@snowtelco.co.uk,Network Engineering,Director of Network Engineering,Director,Full-time,2017-11-18,8.2,Manchester Office,Manchester,Remote,146112.0,,CC002,Active,Other,25-34,5,2022-11-28,10
EMP0104,Harry Thomas,emp0104@snowtelco.co.uk,Retail Operations,Junior Retail Operations Specialist,Junior,Full-time,2024-08-07,1.5,SnowTelco Sheffield High 6,Sheffield,On-site,28768.0,EMP0425,CC001,Active,M,18-24,3,2026-01-12,61
EMP0105,Emily Thomas,emp0105@snowtelco.co.uk,Retail Operations,Junior Retail Operations Specialist,Junior,Full-time,2025-10-12,0.3,SnowTelco Coventry Standard,Coventry,On-site,35418.0,EMP0075,CC001,Notice Period,F,25-34,3,,45
EMP0106,Amelia White,emp0106@snowtelco.co.uk,Customer Service,Junior Customer Service Specialist,Junior,Full-time,2018-11-13,7.2,London Contact Centre,London,Hybrid,28585.0,EMP0034,CC003,Active,F,35-44,3,2023-09-18,23
EMP0107,Charlotte Thomas,emp0107@snowtelco.co.uk,Retail Operations,Mid Retail Operations Specialist,Mid,Contract,2021-01-14,5.0,SnowTelco Southampton High 2,Southampton,On-site,44688.0,EMP0334,CC001,Active,M,45-54,3,2024-06-01,79
EMP0108,Thomas Roberts,emp0108@snowtelco.co.uk,Customer Service,Director of Customer Service,Director,Full-time,2017-12-01,8.2,Manchester Contact Centre,Manchester,Hybrid,138063.0,,CC003,Active,F,25-34,2,2022-07-22,31
EMP0109,Charlotte White,emp0109@snowtelco.co.uk,IT,Mid IT Specialist,Mid,Part-time,2025-04-28,0.8,Birmingham Office,Birmingham,Remote,44319.0,EMP0364,CC009,Active,F,25-34,4,,51
EMP0110,Michael Jones,emp0110@snowtelco.co.uk,Supply Chain,Junior Supply Chain Specialist,Junior,Full-time,2022-07-19,3.5,London HQ,London,Hybrid,37264.0,EMP0304,CC012,Active,M,35-44,5,2024-12-10,56
EMP0111,William Wilson,emp0111@snowtelco.co.uk,Product Management,Entry Product Management Specialist,Entry,Full-time,2019-12-06,6.2,Manchester Office,Manchester,Hybrid,27303.0,EMP0158,CC011,Active,Other,25-34,4,2021-03-07,43
EMP0112,Charlotte Jones,emp0112@snowtelco.co.uk,Customer Service,C-Suite of Customer Service,C-Suite,Part-time,2020-10-06,5.3,Glasgow Contact Centre,Glasgow,On-site,452731.0,,CC003,Notice Period,F,45-54,4,2024-08-29,4
EMP0113,Harry Thomas,emp0113@snowtelco.co.uk,Customer Service,Manager of Customer Service,Manager,Full-time,2025-03-18,0.9,Manchester Contact Centre,Manchester,On-site,98850.0,EMP0031,CC003,Active,Other,35-44,4,,40
