technician_id,technician_name,employee_id,specialization,skill_level,region,hire_date,certification_count,avg_csat_score,status
117,Jessica White,EMP10117,Installation,Expert,North East,2023-09-17,3,3.6,Active
118,Sarah Wright,EMP10118,Enterprise,Intermediate,Wales,2017-10-27,7,3.65,Active
119,Richard Thompson,EMP10119,Fibre,Expert,Scotland,2017-07-31,6,4.74,Active
120,Sarah Thompson,EMP10120,Network,Senior,North East,2023-11-09,3,4.53,Active
121,Robert Williams,EMP10121,Fibre,Junior,North East,2023-11-25,3,4.33,Active
122,Sarah Taylor,EMP10122,Fibre,Intermediate,Scotland,2018-08-16,1,4.95,Active
123,Michael Evans,EMP10123,Repair,Senior,Midlands,2020-12-23,2,4.03,Active
124,Emma Wilson,EMP10124,Fibre,Senior,Northern Ireland,2023-08-20,1,4.41,Active
125,Emma Smith,EMP10125,Repair,Intermediate,North West,2017-02-22,6,4.03,Active
126,Emily Williams,EMP10126,Repair,Senior,London,2023-04-26,2,4.62,Active
127,Chloe Roberts,EMP10127,Repair,Intermediate,North East,2020-03-19,2,4.83,Active
128,John Williams,EMP10128,Network,Intermediate,Scotland,2017-12-29,8,4.41,Active
129,Michael Walker,EMP10129,Fibre,Junior,Wales,2022-07-04,5,3.57,Active
130,John Smith,EMP10130,Repair,Intermediate,Midlands,2018-03-15,3,4.65,Active
131,James Hughes,EMP10131,RAN,Intermediate,South West,2023-07-30,7,4.3,Active
132,Sophie Williams,EMP10132,Fibre,Expert,London,2018-08-28,7,3.53,On Leave
133,Grace Wright,EMP10133,RAN,Senior,North West,2021-05-30,2,4.11,Training
134,Chloe Walker,EMP10134,Installation,Intermediate,South East,2022-12-30,4,4.15,Active
135,Emily Johnson,EMP10135,RAN,Intermediate,North East,2024-01-15,3,3.61,Active
136,Richard Walker,EMP10136,Network,Senior,South West,2018-12-21,4,3.65,Active
137,David Williams,EMP10137,Repair,Expert,Wales,2022-12-23,8,4.63,Active
138,Sarah Roberts,EMP10138,Repair,Intermediate,Wales,2019-11-21,8,4.45,Active
139,John Walker,EMP10139,Enterprise,Junior,Wales,2018-04-16,8,3.56,Active
140,Robert Williams,EMP10140,Enterprise,Senior,Scotland,2021-09-14,8,4.37,Training
141,Chloe Evans,EMP10141,Network,Senior,Northern Ireland,2024-06-17,3,4.94,Active
142,Robert Davies,EMP10142,Installation,Intermediate,Wales,2021-01-26,8,4.29,Active
143,Sophie Johnson,EMP10143,Fibre,Intermediate,North East,2020-11-03,1,4.68,Active
144,Sarah Taylor,EMP10144,Enterprise,Senior,North West,2024-03-08,5,4.59,Active
145,David Roberts,EMP10145,Installation,Senior,South West,2018-03-01,6,3.97,Active
146,Emily Brown,EMP10146,Enterprise,Senior,South East,2017-06-30,5,4.34,Active
147,David Williams,EMP10147,RAN,Senior,Northern Ireland,2021-03-28,6,3.53,Active
148,Sarah Hughes,EMP10148,Repair,Intermediate,South West,2022-07-09,3,3.62,Active
149,John Roberts,EMP10149,Enterprise,Junior,Scotland,2023-10-15,3,3.74,Active
150,William White,EMP10150,Installation,Intermediate,Midlands,2017-12-01,8,4.42,Active
151,Joseph Wilson,EMP10151,Network,Expert,Wales,2019-11-21,4,4.05,On Leave
152,Chloe Johnson,EMP10152,Fibre,Intermediate,Scotland,2019-12-25,3,4.73,Active
153,Emma Jones,EMP10153,RAN,Intermediate,North East,2023-05-16,2,4.57,Active
154,Olivia Williams,EMP10154,Repair,Intermediate,Northern Ireland,2023-07-11,3,4.75,Active
155,Chloe Walker,EMP10155,Installation,Intermediate,Scotland,2022-06-07,6,3.85,Training
156,Joseph Smith,EMP10156,Network,Expert,North East,2020-09-19,3,3.71,Active
157,David Hughes,EMP10157,Fibre,Senior,South East,2019-08-16,1,3.88,Active
158,Grace Taylor,EMP10158,Network,Intermediate,South East,2018-10-08,1,3.86,Active
159,Chloe Williams,EMP10159,Installation,Senior,Wales,2017-12-08,1,4.45,Active
160,David Johnson,EMP10160,Fibre,Junior,North East,2016-11-11,4,4.36,Active
161,Robert Walker,EMP10161,Installation,Expert,Northern Ireland,2017-06-05,1,4.09,Active
162,Emily Walker,EMP10162,Network,Senior,North East,2017-10-17,2,4.02,Active
163,Michael Roberts,EMP10163,Repair,Junior,Northern Ireland,2017-11-16,6,4.72,Active
164,Chloe Hughes,EMP10164,RAN,Junior,South West,2017-03-30,2,4.57,On Leave
165,Olivia Evans,EMP10165,Installation,Senior,London,2024-07-04,6,4.9,Active
166,Jessica Thomas,EMP10166,Installation,Senior,Midlands,2018-10-31,5,4.04,Active
167,Sarah Thomas,EMP10167,Installation,Senior,Scotland,2017-07-27,7,4.61,Active
168,Sarah Davies,EMP10168,Fibre,Senior,North East,2020-08-02,5,4.7,Active
169,Grace Davies,EMP10169,Enterprise,Intermediate,South East,2024-01-14,2,3.99,Active
170,Grace Davies,EMP10170,RAN,Intermediate,Wales,2019-12-03,1,4.59,On Leave
171,Grace Thomas,EMP10171,RAN,Expert,London,2018-01-10,2,4.51,Active
172,William Smith,EMP10172,Repair,Senior,Wales,2019-03-03,1,3.69,Active
173,Sophie Walker,EMP10173,Fibre,Expert,London,2017-09-08,3,4.52,On Leave
174,Chloe Williams,EMP10174,Enterprise,Junior,North East,2020-10-01,7,3.97,Active
175,James Davies,EMP10175,Fibre,Intermediate,Northern Ireland,2023-08-26,2,3.89,Active
176,Richard Johnson,EMP10176,RAN,Expert,Wales,2019-12-02,4,3.68,Active
177,William White,EMP10177,Installation,Senior,North East,2019-11-08,6,4.56,Active
178,Olivia Davies,EMP10178,RAN,Senior,South West,2021-08-31,6,4.26,Active
179,David Wilson,EMP10179,Fibre,Junior,Northern Ireland,2022-09-01,6,4.2,Training
180,Robert Williams,EMP10180,Network,Intermediate,Wales,2023-06-20,7,4.65,Active
181,David Roberts,EMP10181,RAN,Junior,Wales,2024-02-04,6,3.69,Active
182,William Brown,EMP10182,Fibre,Intermediate,London,2018-09-27,2,4.28,Active
183,Sarah Wilson,EMP10183,Network,Expert,Northern Ireland,2023-02-08,5,4.77,Active
184,Emma Brown,EMP10184,RAN,Intermediate,Northern Ireland,2017-10-19,2,4.25,Active
185,David Davies,EMP10185,RAN,Senior,North East,2018-05-30,1,4.74,Active
186,Emma Evans,EMP10186,Enterprise,Intermediate,London,2024-05-30,8,4.83,Active
187,Olivia Hughes,EMP10187,Repair,Senior,Scotland,2017-09-21,5,4.18,Active
188,Chloe Thompson,EMP10188,Fibre,Intermediate,North East,2023-02-24,3,3.97,Active
189,Emily Brown,EMP10189,Network,Intermediate,South East,2021-01-18,6,3.86,Active
190,Joseph Brown,EMP10190,Installation,Junior,Scotland,2019-11-18,7,3.87,Active
191,Sarah Roberts,EMP10191,Repair,Senior,Wales,2023-02-17,8,4.25,Active
192,Robert Wright,EMP10192,Enterprise,Intermediate,Midlands,2024-08-30,4,4.38,Active
193,Jessica Hughes,EMP10193,Network,Intermediate,South East,2021-10-07,7,3.7,Active
194,Emily Walker,EMP10194,Installation,Intermediate,Northern Ireland,2020-10-26,4,4.04,Active
195,Chloe Thomas,EMP10195,Enterprise,Senior,South East,2020-08-03,3,4.96,Active
196,Sophie Brown,EMP10196,Repair,Senior,Scotland,2021-02-13,1,3.57,Active
197,Jessica White,EMP10197,Repair,Senior,Northern Ireland,2021-03-09,3,3.99,Active
198,Emily Johnson,EMP10198,Enterprise,Intermediate,Northern Ireland,2023-02-06,8,4.56,Active
199,Sophie Roberts,EMP10199,RAN,Junior,Scotland,2024-09-25,5,4.7,Active
200,James Hughes,EMP10200,Network,Expert,Midlands,2017-03-16,1,4.38,Active
