fraud_case_id,fraud_type_id,detection_date,detection_timestamp,detection_method,ml_confidence_score,subscriber_key,msisdn,suspected_amount,actual_loss,prevented_loss,status,resolution_type,resolution_date,investigating_team,city,risk_score,is_repeat_offender
18,12,2026-01-21,2026-01-21 01:10:00,Rule Engine,,12419,447102314313,1704.96,693.7,546.12,Investigating,,,External Partner,Glasgow,89,False
19,8,2026-01-10,2026-01-10 01:37:00,ML Model,0.75,24109,447682177668,49773.42,0.0,49773.42,Resolved,Write-off,2026-01-26,Fraud Ops,Newcastle,80,True
20,6,2025-09-15,2025-09-15 19:04:00,ML Model,0.71,22126,447352548261,1842.8,0.0,1842.8,Resolved,Account Blocked,2025-10-02,External Partner,Manchester,96,False
21,6,2025-11-14,2025-11-14 21:45:00,ML Model,0.74,10296,447356287095,209.87,0.0,209.87,Resolved,No Action,2025-12-01,Security,Bristol,68,False
22,3,2025-06-11,2025-06-11 17:13:00,ML Model,0.86,16577,447384756779,46486.41,27031.7,10691.61,False Positive,,,Revenue Assurance,Leicester,82,False
23,11,2025-07-09,2025-07-09 19:51:00,Customer Report,,21430,447667945747,1496.44,0.0,1496.44,Confirmed,No Action,,Fraud Ops,Belfast,95,False
24,8,2025-03-10,2025-03-10 06:45:00,Customer Report,,11236,447318610946,13591.06,5133.67,3867.02,False Positive,,,Security,Edinburgh,91,False
25,11,2025-01-27,2025-01-27 04:40:00,ML Model,0.76,8584,447273497327,552.26,0.0,552.26,Confirmed,Law Enforcement,,External Partner,Edinburgh,87,False
26,1,2025-12-20,2025-12-20 13:08:00,Rule Engine,,1371,447430989881,4529.25,0.0,4529.25,Resolved,Law Enforcement,2026-01-08,Security,Leicester,62,False
27,2,2025-05-08,2025-05-08 13:39:00,Manual Review,,24559,447265950383,3367.97,0.0,3367.97,Confirmed,No Action,,Revenue Assurance,Southampton,70,False
28,10,2025-07-31,2025-07-31 21:55:00,Real-time Monitor,,24087,447970535450,98.33,0.0,98.33,Resolved,Law Enforcement,2025-08-26,Revenue Assurance,Glasgow,70,False
29,1,2025-01-20,2025-01-20 07:14:00,ML Model,0.93,776,447808705238,4307.11,0.0,4307.11,Confirmed,Customer Warned,,Revenue Assurance,Bristol,81,False
30,1,2026-01-31,2026-01-31 17:21:00,Real-time Monitor,,905,447223847257,1467.71,0.0,1467.71,Resolved,Customer Warned,2026-02-22,Security,Birmingham,97,False
31,2,2025-02-25,2025-02-25 16:07:00,Rule Engine,,12623,447719106699,3023.2,0.0,3023.2,Confirmed,Law Enforcement,,Revenue Assurance,Glasgow,62,False
32,1,2026-02-17,2026-02-17 11:27:00,Customer Report,,2293,447813219781,2738.41,0.0,2738.41,Resolved,Write-off,2026-03-13,Security,Cardiff,80,False
33,1,2025-06-03,2025-06-03 17:08:00,Customer Report,,6287,447551450815,2584.9,0.0,2584.9,Resolved,Law Enforcement,2025-06-16,External Partner,Belfast,71,False
34,3,2025-10-08,2025-10-08 18:38:00,Rule Engine,,21454,447446012478,41769.4,0.0,41769.4,Confirmed,Refund Issued,,External Partner,Sheffield,88,False
35,5,2026-02-11,2026-02-11 20:39:00,ML Model,0.83,10984,447200273738,45108.45,0.0,45108.45,Resolved,Refund Issued,2026-03-05,Revenue Assurance,Belfast,79,False
36,2,2025-01-13,2025-01-13 20:36:00,Customer Report,,6372,447871318048,326.45,223.37,109.89,Escalated,,,External Partner,Sheffield,85,False
37,7,2025-01-03,2025-01-03 22:33:00,Manual Review,,15223,447153921577,1790.69,1234.16,475.7,False Positive,,,Revenue Assurance,Leicester,67,False
38,9,2025-12-08,2025-12-08 19:52:00,Manual Review,,23570,447642001424,1085.71,0.0,1085.71,Resolved,Law Enforcement,2026-01-02,External Partner,Southampton,95,False
39,2,2025-09-01,2025-09-01 16:31:00,Partner Alert,,20538,447356888294,2305.34,0.0,2305.34,Resolved,Write-off,2025-09-10,Security,Sheffield,64,False
40,2,2025-06-21,2025-06-21 22:13:00,ML Model,0.89,2105,447545461013,1666.58,0.0,1666.58,Resolved,Refund Issued,2025-06-26,External Partner,Liverpool,94,False
41,1,2025-08-04,2025-08-04 18:24:00,Manual Review,,15630,447106330865,2008.44,0.0,2008.44,Resolved,Write-off,2025-08-05,Security,Glasgow,84,False
42,12,2025-08-03,2025-08-03 13:31:00,ML Model,0.72,952,447517532243,1099.53,0.0,1099.53,Resolved,No Action,2025-09-01,Security,Belfast,85,False
43,10,2025-03-07,2025-03-07 00:05:00,Rule Engine,,21062,447560219456,1962.41,0.0,1962.41,Resolved,Customer Warned,2025-03-26,Revenue Assurance,Southampton,89,False
44,2,2025-06-17,2025-06-17 13:16:00,ML Model,0.97,27359,447187946147,1137.14,0.0,1137.14,Confirmed,Customer Warned,,External Partner,London,94,True
45,12,2025-04-25,2025-04-25 07:12:00,Partner Alert,,27500,447121882877,1317.78,0.0,1317.78,Resolved,Write-off,2025-04-27,Revenue Assurance,Leeds,68,False
46,1,2025-04-22,2025-04-22 23:45:00,ML Model,0.86,3754,447935147672,2378.67,0.0,2378.67,Confirmed,Law Enforcement,,Revenue Assurance,Glasgow,66,False
47,11,2025-10-22,2025-10-22 22:53:00,Rule Engine,,20554,447360757540,3419.0,2248.02,761.75,Escalated,,,Fraud Ops,Newcastle,79,False
48,6,2025-03-03,2025-03-03 21:23:00,Rule Engine,,2260,447643271261,1602.64,0.0,1602.64,Resolved,Account Blocked,2025-03-15,Security,London,86,False
49,1,2025-07-05,2025-07-05 20:17:00,Customer Report,,20183,447967797300,3214.37,1664.22,1350.48,False Positive,,,External Partner,Sheffield,87,False
50,6,2025-06-15,2025-06-15 19:42:00,ML Model,0.95,12419,447461203124,1710.84,721.86,580.68,False Positive,,,Fraud Ops,Sheffield,80,False
51,2,2026-02-13,2026-02-13 08:35:00,Customer Report,,333,447654724287,1365.93,0.0,1365.93,Confirmed,No Action,,Revenue Assurance,Manchester,75,False
52,5,2026-01-24,2026-01-24 00:05:00,Rule Engine,,9642,447337937327,12396.03,0.0,12396.03,Resolved,Write-off,2026-02-09,External Partner,Newcastle,75,False
53,6,2025-08-31,2025-08-31 11:44:00,Rule Engine,,14869,447390894296,1129.27,0.0,1129.27,Confirmed,Write-off,,Security,Glasgow,74,True
54,2,2025-03-03,2025-03-03 08:46:00,Customer Report,,19320,447916267011,3740.12,1480.23,1576.77,Escalated,,,Security,Manchester,72,False
55,3,2025-06-04,2025-06-04 17:18:00,Real-time Monitor,,22853,447235591568,1200.34,0.0,1200.34,Resolved,Law Enforcement,2025-06-06,External Partner,Manchester,60,False
56,5,2025-08-14,2025-08-14 15:04:00,ML Model,0.94,18908,447775862179,17364.94,6200.04,3813.39,Escalated,,,Fraud Ops,Birmingham,69,False
57,11,2025-02-13,2025-02-13 07:49:00,Partner Alert,,17124,447508427798,4970.2,2997.82,2173.08,Investigating,,,External Partner,Leicester,88,False
58,6,2025-08-08,2025-08-08 20:13:00,ML Model,0.91,8672,447809129316,645.49,0.0,645.49,Resolved,No Action,2025-09-01,Fraud Ops,Birmingham,75,False
59,1,2025-01-02,2025-01-02 09:44:00,ML Model,0.75,28168,447587512424,2101.74,0.0,2101.74,Resolved,Customer Warned,2025-01-12,Fraud Ops,Belfast,74,False
60,9,2025-11-17,2025-11-17 04:58:00,ML Model,0.73,8705,447987588450,1200.09,0.0,1200.09,Resolved,Refund Issued,2025-12-01,Revenue Assurance,Manchester,63,False
61,3,2026-01-19,2026-01-19 12:17:00,Rule Engine,,16400,447679800791,41299.89,22068.55,12027.66,False Positive,,,External Partner,Sheffield,65,False
62,11,2026-01-12,2026-01-12 18:37:00,ML Model,0.88,680,447921155204,1679.38,0.0,1679.38,Confirmed,Account Blocked,,Security,Cardiff,62,False
63,2,2025-09-23,2025-09-23 02:30:00,ML Model,0.85,11402,447538460431,3292.4,2032.7,1144.17,False Positive,,,Security,Liverpool,66,False
64,3,2025-12-22,2025-12-22 01:29:00,Partner Alert,,2886,447437710224,25025.72,0.0,25025.72,Resolved,Customer Warned,2026-01-18,Security,Liverpool,67,False
65,4,2025-09-21,2025-09-21 14:26:00,Manual Review,,1777,447301415220,1658.61,0.0,1658.61,Detected,,,Security,Cardiff,91,False
66,9,2025-04-15,2025-04-15 20:38:00,ML Model,0.95,26192,447356943695,570.76,309.56,119.1,Investigating,,,Revenue Assurance,Glasgow,95,True
67,4,2025-04-26,2025-04-26 15:59:00,Rule Engine,,23482,447413383963,1984.9,712.05,892.5,False Positive,,,Security,Bristol,90,False
68,2,2025-10-10,2025-10-10 02:17:00,Rule Engine,,25320,447948262678,808.75,544.41,194.87,Investigating,,,External Partner,Liverpool,92,False
69,1,2026-01-07,2026-01-07 14:34:00,Manual Review,,15871,447470574014,1562.92,0.0,1562.92,Resolved,Write-off,2026-01-23,Security,Edinburgh,94,False
70,11,2025-04-07,2025-04-07 01:20:00,ML Model,0.91,24403,447607854378,4905.8,0.0,4905.8,Confirmed,Customer Warned,,External Partner,Bristol,69,False
71,1,2025-09-15,2025-09-15 14:06:00,Manual Review,,17235,447590622789,4830.23,0.0,4830.23,Confirmed,Account Blocked,,Fraud Ops,Newcastle,69,False
72,7,2025-03-21,2025-03-21 12:41:00,Customer Report,,2632,447452794611,195.92,0.0,195.92,Resolved,Law Enforcement,2025-04-01,External Partner,Liverpool,100,False
73,9,2025-10-05,2025-10-05 09:14:00,Customer Report,,24471,447197044071,120.0,0.0,120.0,Detected,,,External Partner,Manchester,100,False
74,1,2025-03-27,2025-03-27 04:15:00,ML Model,0.92,17406,447542437192,3500.61,1563.67,1093.77,False Positive,,,Revenue Assurance,Birmingham,71,True
75,11,2025-11-14,2025-11-14 14:16:00,ML Model,0.87,21852,447110090412,3447.36,0.0,3447.36,Resolved,No Action,2025-11-19,External Partner,Leicester,78,False
76,2,2025-08-15,2025-08-15 09:12:00,ML Model,0.98,12606,447618840705,4731.65,3052.66,1594.81,Escalated,,,Fraud Ops,Leeds,84,False
77,6,2025-12-25,2025-12-25 21:49:00,Customer Report,,24402,447152660856,625.7,273.58,231.37,Escalated,,,External Partner,Southampton,78,False
78,2,2026-02-15,2026-02-15 23:49:00,Customer Report,,21601,447831062591,1826.37,0.0,1826.37,Resolved,No Action,2026-02-24,Revenue Assurance,Belfast,66,False
79,7,2025-06-08,2025-06-08 04:05:00,Rule Engine,,29807,447416872439,1587.79,0.0,1587.79,Detected,,,Security,Newcastle,86,False
80,1,2025-10-04,2025-10-04 05:16:00,Manual Review,,29952,447985503942,4394.66,0.0,4394.66,Confirmed,No Action,,External Partner,Nottingham,78,False
81,3,2025-02-28,2025-02-28 07:55:00,Partner Alert,,22162,447877621770,23682.4,0.0,23682.4,Detected,,,External Partner,Southampton,95,False
82,9,2025-01-08,2025-01-08 12:52:00,Rule Engine,,20924,447498866784,565.69,381.56,157.63,Investigating,,,Fraud Ops,Belfast,74,False
83,6,2025-10-15,2025-10-15 14:58:00,Customer Report,,22973,447424474225,689.61,0.0,689.61,Resolved,Write-off,2025-10-18,External Partner,Manchester,68,True
84,1,2025-09-10,2025-09-10 21:47:00,ML Model,0.8,22823,447680027275,668.99,0.0,668.99,Confirmed,No Action,,External Partner,Cardiff,69,False
85,7,2025-09-08,2025-09-08 07:54:00,ML Model,0.88,11885,447206681214,1250.52,511.01,416.93,False Positive,,,Security,Edinburgh,82,True
86,3,2025-03-04,2025-03-04 01:50:00,ML Model,0.72,10929,447361530104,47476.03,29423.1,23326.3,False Positive,,,Revenue Assurance,Nottingham,96,False
87,10,2025-10-11,2025-10-11 19:00:00,Manual Review,,9086,447255357534,453.96,210.76,110.89,Investigating,,,Revenue Assurance,Edinburgh,76,False
88,1,2025-01-14,2025-01-14 00:11:00,Rule Engine,,8696,447156263020,745.84,0.0,745.84,Confirmed,Refund Issued,,Revenue Assurance,Newcastle,86,False
89,9,2025-09-01,2025-09-01 19:02:00,ML Model,0.82,23831,447940983577,924.14,0.0,924.14,Confirmed,No Action,,Security,Sheffield,61,True
90,5,2025-07-25,2025-07-25 10:38:00,Customer Report,,4861,447170525764,21600.54,11270.75,10147.5,Investigating,,,Revenue Assurance,Glasgow,99,False
91,6,2025-06-16,2025-06-16 13:06:00,Rule Engine,,25989,447853529912,792.76,0.0,792.76,Resolved,Law Enforcement,2025-07-01,Fraud Ops,Southampton,95,False
92,2,2025-08-20,2025-08-20 23:06:00,Rule Engine,,10242,447558234365,4451.65,0.0,4451.65,Confirmed,Customer Warned,,Security,Belfast,76,False
93,2,2025-08-31,2025-08-31 17:03:00,ML Model,0.68,19218,447702998820,428.95,287.14,190.25,False Positive,,,Security,Belfast,67,False
94,11,2026-01-20,2026-01-20 16:13:00,ML Model,0.75,5071,447805165232,2172.39,991.1,502.0,False Positive,,,External Partner,Leeds,66,False
95,6,2025-02-28,2025-02-28 19:39:00,Rule Engine,,22118,447790092970,1537.08,0.0,1537.08,Resolved,Customer Warned,2025-03-28,Fraud Ops,Cardiff,77,True
96,3,2026-01-26,2026-01-26 21:25:00,ML Model,0.7,2281,447252336745,15794.74,0.0,15794.74,Confirmed,Account Blocked,,Fraud Ops,Manchester,93,False
97,4,2025-06-24,2025-06-24 18:38:00,Partner Alert,,2784,447156488296,356.95,0.0,356.95,Confirmed,Law Enforcement,,Revenue Assurance,Birmingham,99,True
98,1,2025-08-15,2025-08-15 03:22:00,ML Model,0.91,14088,447219066986,3343.5,0.0,3343.5,Resolved,Customer Warned,2025-08-29,Security,Belfast,97,False
99,8,2025-01-24,2025-01-24 08:18:00,ML Model,0.72,10752,447228832213,11415.66,8820.45,4911.07,Escalated,,,Fraud Ops,Sheffield,87,False
100,4,2025-12-27,2025-12-27 12:55:00,Rule Engine,,24316,447145421708,498.72,0.0,498.72,Resolved,Write-off,2026-01-22,External Partner,London,89,False
101,10,2025-10-22,2025-10-22 03:25:00,Rule Engine,,684,447448717183,887.1,0.0,887.1,Confirmed,Write-off,,Revenue Assurance,Nottingham,99,False
102,8,2025-07-05,2025-07-05 09:47:00,ML Model,0.85,11126,447337911187,4862.43,2732.59,1549.8,False Positive,,,Security,Nottingham,70,True
103,7,2025-09-29,2025-09-29 07:06:00,ML Model,0.9,4799,447374843786,1044.41,740.98,464.25,False Positive,,,Revenue Assurance,Birmingham,98,False
104,9,2025-02-08,2025-02-08 18:28:00,Partner Alert,,22320,447706118438,395.43,0.0,395.43,Resolved,Customer Warned,2025-02-23,Security,Southampton,100,False
105,4,2025-08-29,2025-08-29 11:32:00,Rule Engine,,2432,447433297890,912.31,0.0,912.31,Confirmed,Law Enforcement,,External Partner,Sheffield,62,True
106,10,2025-02-09,2025-02-09 23:57:00,ML Model,0.85,1345,447582897882,1307.1,643.41,488.98,Escalated,,,Revenue Assurance,Liverpool,98,False
107,2,2025-02-01,2025-02-01 01:15:00,ML Model,0.87,23188,447570039364,2307.56,0.0,2307.56,Resolved,Law Enforcement,2025-02-24,External Partner,Edinburgh,93,False
108,3,2025-05-25,2025-05-25 10:04:00,ML Model,0.86,10804,447201474984,19677.12,0.0,19677.12,Resolved,Write-off,2025-06-14,External Partner,Glasgow,76,False
109,7,2025-11-05,2025-11-05 11:19:00,Customer Report,,21498,447849987147,1752.9,0.0,1752.9,Confirmed,No Action,,External Partner,Birmingham,98,False
110,1,2025-10-14,2025-10-14 23:43:00,Customer Report,,29900,447665210546,1945.73,0.0,1945.73,Resolved,Refund Issued,2025-11-05,Fraud Ops,Belfast,87,False
111,1,2025-06-08,2025-06-08 04:09:00,Real-time Monitor,,2529,447417604347,983.29,534.06,263.49,Investigating,,,Fraud Ops,Edinburgh,94,False
112,11,2025-01-20,2025-01-20 05:53:00,Customer Report,,22704,447927959968,3343.45,2001.47,823.41,False Positive,,,Revenue Assurance,Newcastle,88,True
113,3,2026-01-04,2026-01-04 14:14:00,Partner Alert,,17499,447356805216,12257.74,0.0,12257.74,Confirmed,Law Enforcement,,Security,Nottingham,90,False
114,2,2025-12-14,2025-12-14 16:26:00,Rule Engine,,5311,447977130288,4740.94,2090.21,1491.32,Escalated,,,Revenue Assurance,Nottingham,98,True
115,2,2025-11-25,2025-11-25 16:54:00,Customer Report,,4086,447406084084,2454.89,0.0,2454.89,Confirmed,Account Blocked,,Fraud Ops,Nottingham,70,False
116,11,2025-03-17,2025-03-17 14:56:00,Manual Review,,11456,447128636900,4172.13,0.0,4172.13,Detected,,,External Partner,London,85,False
117,2,2025-02-11,2025-02-11 22:41:00,Real-time Monitor,,10987,447949738493,1937.07,0.0,1937.07,Detected,,,Revenue Assurance,Birmingham,62,False
118,10,2025-12-23,2025-12-23 02:01:00,Customer Report,,8387,447331557515,1670.67,0.0,1670.67,Resolved,Customer Warned,2026-01-07,Revenue Assurance,Edinburgh,98,False
119,1,2025-05-28,2025-05-28 15:38:00,ML Model,0.87,17566,447117647321,1264.44,773.09,276.71,Investigating,,,Revenue Assurance,Newcastle,69,False
120,1,2025-06-30,2025-06-30 16:23:00,Customer Report,,2218,447664852025,1278.76,0.0,1278.76,Confirmed,Write-off,,Fraud Ops,Bristol,90,True
121,4,2025-07-11,2025-07-11 11:15:00,Partner Alert,,24018,447805560474,544.62,0.0,544.62,Detected,,,Fraud Ops,Nottingham,97,False
122,3,2025-01-23,2025-01-23 14:44:00,ML Model,0.91,15681,447778321204,17938.8,0.0,17938.8,Confirmed,Write-off,,Revenue Assurance,Nottingham,68,True
123,9,2025-08-23,2025-08-23 09:32:00,Partner Alert,,13050,447975535611,122.12,90.72,35.99,Investigating,,,External Partner,Glasgow,62,False
124,2,2025-07-02,2025-07-02 08:07:00,Customer Report,,26193,447495157577,4324.48,0.0,4324.48,Detected,,,External Partner,Leicester,85,False
125,11,2025-07-17,2025-07-17 08:51:00,Customer Report,,2708,447880697625,1761.28,851.88,773.53,Investigating,,,External Partner,Manchester,87,False
126,10,2025-10-07,2025-10-07 05:44:00,ML Model,0.75,14546,447477470703,622.84,325.72,258.66,Investigating,,,External Partner,London,82,False
127,4,2025-11-24,2025-11-24 21:10:00,ML Model,0.87,1021,447253308283,1961.05,944.55,863.51,False Positive,,,External Partner,London,68,True
128,9,2025-07-07,2025-07-07 14:48:00,ML Model,0.7,2520,447716243819,756.19,396.97,235.39,False Positive,,,Revenue Assurance,Edinburgh,83,False
129,7,2025-05-08,2025-05-08 17:07:00,ML Model,0.83,8578,447932111777,1923.01,0.0,1923.01,Detected,,,Security,Newcastle,88,False
130,6,2025-12-22,2025-12-22 14:11:00,Manual Review,,29448,447865975088,1837.13,0.0,1837.13,Resolved,Account Blocked,2025-12-27,External Partner,Manchester,80,False
131,8,2025-10-09,2025-10-09 20:11:00,Manual Review,,26008,447488149273,27337.48,17930.78,13072.71,False Positive,,,Revenue Assurance,Manchester,72,False
132,2,2025-09-10,2025-09-10 17:08:00,Partner Alert,,20053,447192573170,228.79,0.0,228.79,Resolved,Law Enforcement,2025-09-25,Fraud Ops,Glasgow,85,False
133,8,2025-09-27,2025-09-27 20:04:00,ML Model,0.98,14745,447600184588,20834.36,0.0,20834.36,Confirmed,No Action,,Security,Birmingham,95,False
134,2,2025-03-08,2025-03-08 10:59:00,ML Model,0.69,23244,447342096876,2219.83,835.78,553.62,False Positive,,,Security,Edinburgh,78,False
135,2,2025-11-22,2025-11-22 16:41:00,ML Model,0.83,5526,447735449477,4786.12,0.0,4786.12,Confirmed,Write-off,,Revenue Assurance,Birmingham,99,False
136,6,2025-10-16,2025-10-16 06:49:00,ML Model,0.97,18748,447547306651,130.33,89.34,36.41,False Positive,,,Fraud Ops,Sheffield,100,False
137,7,2025-06-04,2025-06-04 01:10:00,ML Model,0.67,14405,447546270451,991.74,0.0,991.74,Resolved,Write-off,2025-06-17,External Partner,Sheffield,73,False
138,1,2026-01-03,2026-01-03 03:20:00,ML Model,0.79,7922,447600871106,1664.65,1132.52,590.11,Escalated,,,Fraud Ops,Glasgow,88,False
139,1,2025-05-29,2025-05-29 10:59:00,Rule Engine,,18930,447874305759,4732.39,3697.62,2227.5,False Positive,,,Security,Leeds,70,False
140,5,2025-09-13,2025-09-13 07:13:00,Rule Engine,,19116,447478918222,44014.25,0.0,44014.25,Resolved,Account Blocked,2025-09-26,Fraud Ops,London,78,False
141,11,2025-12-01,2025-12-01 13:08:00,Partner Alert,,28917,447383975609,3395.35,0.0,3395.35,Confirmed,Account Blocked,,Security,Nottingham,85,False
142,4,2025-10-19,2025-10-19 17:17:00,ML Model,0.82,27044,447769200551,1145.54,0.0,1145.54,Confirmed,Law Enforcement,,Fraud Ops,Birmingham,66,False
143,9,2025-06-23,2025-06-23 16:02:00,ML Model,0.82,1485,447141783553,1137.77,0.0,1137.77,Confirmed,Refund Issued,,Revenue Assurance,Newcastle,81,False
144,5,2025-03-18,2025-03-18 05:25:00,Customer Report,,20202,447893838119,30509.9,0.0,30509.9,Resolved,Law Enforcement,2025-04-17,Security,Cardiff,81,False
145,5,2025-09-08,2025-09-08 21:07:00,Rule Engine,,13650,447726745401,35582.62,0.0,35582.62,Confirmed,Account Blocked,,Security,Nottingham,100,True
146,5,2025-12-02,2025-12-02 18:30:00,Customer Report,,5588,447662890182,39253.75,0.0,39253.75,Resolved,No Action,2025-12-10,External Partner,Birmingham,75,True
147,11,2025-02-26,2025-02-26 13:32:00,ML Model,0.88,25395,447756569565,1034.84,0.0,1034.84,Confirmed,Customer Warned,,External Partner,Southampton,63,False
148,5,2025-10-15,2025-10-15 17:21:00,ML Model,0.71,17901,447480412754,16589.95,0.0,16589.95,Resolved,No Action,2025-10-28,Security,Cardiff,90,False
149,2,2025-10-13,2025-10-13 22:45:00,Real-time Monitor,,16024,447440419907,1562.65,1071.33,642.98,False Positive,,,External Partner,Liverpool,95,False
150,9,2025-05-21,2025-05-21 12:52:00,Manual Review,,11310,447930071496,611.19,0.0,611.19,Resolved,No Action,2025-06-03,Revenue Assurance,Glasgow,62,False
151,8,2025-06-27,2025-06-27 08:59:00,ML Model,0.93,18417,447847508242,46238.48,0.0,46238.48,Resolved,Write-off,2025-07-13,Security,Birmingham,66,False
152,6,2025-05-05,2025-05-05 15:06:00,ML Model,0.73,22322,447927603754,148.99,52.16,44.56,False Positive,,,Revenue Assurance,London,95,False
153,2,2025-12-01,2025-12-01 10:18:00,Rule Engine,,21165,447163525343,4681.66,1871.39,2290.15,False Positive,,,Fraud Ops,Belfast,96,False
154,9,2025-01-20,2025-01-20 12:50:00,Manual Review,,16233,447300050585,1830.8,710.16,871.26,Investigating,,,Security,Leicester,62,True
155,6,2025-02-24,2025-02-24 17:33:00,Real-time Monitor,,16185,447244096091,1860.49,0.0,1860.49,Confirmed,Customer Warned,,External Partner,Glasgow,72,False
156,3,2026-01-10,2026-01-10 09:36:00,ML Model,0.76,22099,447913126162,23216.27,0.0,23216.27,Confirmed,Refund Issued,,Revenue Assurance,Birmingham,99,False
157,11,2026-02-28,2026-02-28 05:08:00,Customer Report,,15646,447447464644,2195.75,0.0,2195.75,Confirmed,Customer Warned,,Revenue Assurance,London,76,False
158,4,2025-05-17,2025-05-17 08:41:00,Rule Engine,,11782,447843854609,1910.37,0.0,1910.37,Confirmed,Write-off,,Revenue Assurance,London,67,False
159,2,2025-12-18,2025-12-18 09:23:00,Customer Report,,20141,447337135066,2562.35,1167.12,602.73,False Positive,,,Revenue Assurance,Birmingham,90,False
160,9,2025-11-07,2025-11-07 21:52:00,Rule Engine,,7157,447918040539,778.57,0.0,778.57,Resolved,Customer Warned,2025-12-02,Revenue Assurance,Belfast,98,False
161,1,2025-08-17,2025-08-17 16:12:00,ML Model,0.93,18767,447676234459,2688.05,0.0,2688.05,Confirmed,No Action,,Revenue Assurance,Birmingham,80,False
162,4,2025-12-15,2025-12-15 01:29:00,Rule Engine,,4324,447651095672,450.53,0.0,450.53,Resolved,Account Blocked,2026-01-13,External Partner,Sheffield,96,True
163,5,2026-02-18,2026-02-18 06:37:00,ML Model,0.65,2394,447148629555,15754.39,0.0,15754.39,Detected,,,External Partner,Liverpool,64,False
164,1,2025-02-05,2025-02-05 20:46:00,ML Model,0.7,21165,447551360199,4932.07,0.0,4932.07,Resolved,Law Enforcement,2025-02-19,Security,Leicester,84,False
165,11,2025-07-13,2025-07-13 20:55:00,Rule Engine,,11396,447227381397,1940.66,0.0,1940.66,Resolved,Write-off,2025-08-10,Revenue Assurance,Edinburgh,85,False
166,8,2025-04-25,2025-04-25 17:27:00,Customer Report,,17431,447507245006,41823.67,0.0,41823.67,Resolved,Law Enforcement,2025-05-10,Revenue Assurance,Leeds,89,False
167,3,2026-01-07,2026-01-07 19:49:00,Customer Report,,28959,447116799547,38391.75,0.0,38391.75,Detected,,,Revenue Assurance,Leeds,64,True
168,1,2025-11-03,2025-11-03 01:08:00,ML Model,0.67,16512,447410594268,3392.92,1762.56,1227.99,False Positive,,,Revenue Assurance,Southampton,96,False
169,6,2025-12-11,2025-12-11 16:14:00,Real-time Monitor,,13552,447422660441,1645.85,0.0,1645.85,Confirmed,Refund Issued,,Security,London,95,False
